wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified
45,9,2,soient,soient,XVIII_9,Vfin,Vfin,être,7s,---,'C/V\./e\
46,9,3,amant,amant,XVIII_9,Vprs,Vprs,aimer,7s,---,/V\.'C/V\
47,9,4,plusour,plusour,XVIII_9,QIs,QIs,plusieurs,7s,---,C/V\.'C/V\
48,9,5,",",",",XVIII_9,Pnc,Pnc,,7s,---,
49,10,1,mais,mais,XVIII_10,Crd,Crd,mais,7s,---,C/V\
50,10,2,tant,tant,XVIII_10,QIs,QIs,tant,7s,---,C/V\
51,10,3,plus,plus,XVIII_10,Adv,Adv,plus,7s,---,C/V\
52,10,4,de,de,XVIII_10,Pre,Pre,de,7s,---,C/(e)\
53,10,5,mal,mal,XVIII_10,N,N,mal,7s,---,C/V\
54,10,6,endure,endure,XVIII_10,Vfin,Vfin,endurer,7s,---,/V\.'C/V\.C/(e)\
55,11,1,que,que,XVIII_11,Sub,Sub,que,7s,---,C/(e)\
56,11,2,voy,voy,XVIII_11,Vfin,Vfin,voir,7s,---,C/V\
57,11,3,leur,leur,XVIII_11,Det,Det,leur2,7s,---,C/V\
58,11,4,joie,joie,XVIII_11,N,N,,7s,---,'C/V\./(e)\
59,11,5,gringnour,gringnour,XVIII_11,Adj,Adj,graindre,7s,---,C/V\.'C/V\
60,11,6,",",",",XVIII_11,Pnc,Pnc,,7s,---,
61,12,1,et,et,XVIII_12,Crd,Crd,et,7s,---,/V\
62,12,2,tant,tant,XVIII_12,QIs,QIs,tant,7s,---,C/V\
63,12,3,plus,plus,XVIII_12,Adv,Adv,plus,7s,---,C/V\
64,12,4,soupir,soupir,XVIII_12,Vfin,Vfin,soupirer,7s,---,C/V\.'C/V\
65,12,5,et,et,XVIII_12,Crd,Crd,et,7s,---,/V\
66,12,6,plour,plour,XVIII_12,Vfin,Vfin,pleurer,7s,---,C/V\
67,13,1,quant,quant,XVIII_13,Sub,Sub,quand,7s,---,C/V\
68,13,2,il,il,XVIII_13,Prn,Prn$,il,7s,---,/V\
69,13,3,me,me,XVIII_13,Prn,Prn$$,1ps,7s,---,C/(e)\
70,13,4,convient,convient,XVIII_13,Vfin,Vfin,convenir,7s,---,C/V\.'C/V\
71,13,5,tenir,tenir,XVIII_13,Vinf,Vinf,tenir,7s,---,C/V\.'C/V\
72,14,1,de,de,XVIII_14,Pre,Pre,de,7s,---,C/(e)\
73,14,2,vous,vous,XVIII_14,Prn,Prn,2pp,7s,---,C/V\
74,14,3,veoir,veoir,XVIII_14,Vinf,Vinf,voir,7s,---,C/(V)\.'/V\
75,14,4,et,et,XVIII_14,Crd,Crd,et,7s,---,/V\
76,14,5,oïr,oïr,XVIII_14,Vinf,Vinf,ouïr,7s,---,/V\.'C/V\
77,14,6,.,.,XVIII_14,Pnc,Pnc,,7s,---,
78,15,1,s',s',XVIII_15,Adv,Adv,si4,7s,---,C/\
79,15,2,en,en,XVIII_15,Prn,Prn$$,en2,7s,---,/V\
80,15,3,sui,sui,XVIII_15,Vfin,Vfin,être,7s,---,C/V\
81,15,4,à,à,XVIII_15,Pre,Pre,à,7s,---,/V\
82,15,5,desconfiture,desconfiture,XVIII_15,N,N,,7s,---,C/V\.C/V\.C/V\.'C/V\.C/(e)\
83,15,6,",",",",XVIII_15,Pnc,Pnc,,7s,---,
84,16,1,s',s',XVIII_16,Sub,Sub,si3,7s,---,C/\
85,16,2,amours,amours,XVIII_16,N,N,,7s,---,/V\.'C/V\
86,16,3,par,par,XVIII_16,Pre,Pre,par,7s,---,C/V\
87,16,4,sa,sa,XVIII_16,Det,Det,son4,7s,---,C/V\
88,16,5,grant,grant,XVIII_16,Adj,Adj,grand,7s,---,C/V\
89,16,6,douçour,douçour,XVIII_16,N,N,,7s,---,C/V\.'C/V\
90,17,1,de,de,XVIII_17,Pre,Pre,de,7s,---,C/(e)\
91,17,2,mon,mon,XVIII_17,Det,Det,mon,7s,---,C/V\
92,17,3,desir,desir,XVIII_17,N,N,,7s,---,C/V\.'C/V\
93,17,4,n',n',XVIII_17,Neg,Neg,ne,7s,---,C/\
94,17,5,amesure,amesure,XVIII_17,Vfin,Vfin,amesurer,7s,---,/V\.C/e\.'C/V\.C/(e)\
95,18,1,la,la,XVIII_18,Det,Det,le,7s,---,C/V\
96,18,2,desmesuree,desmesuree,XVIII_18,Vpp,Vpp,démesurer,7s,---,C/V\.C/V\.C/V\.'C/V\./(e)\
97,18,3,ardour,ardour,XVIII_18,N,N,,7s,---,/V\.'C/V\
98,18,4,",",",",XVIII_18,Pnc,Pnc,,7s,---,
99,19,1,ou,ou,XVIII_19,Crd,Crd,ou,7s,---,/V\
100,19,2,se,se,XVIII_19,Sub,Sub,si3,7s,---,C/(e)\
101,19,3,tost,tost,XVIII_19,Adv,Adv,tôt,7s,---,C/V\
102,19,4,ne,ne,XVIII_19,Neg,Neg,ne,7s,---,C/(e)\
103,19,5,voy,voy,XVIII_19,Vfin,Vfin,voir,7s,---,C/V\
104,19,6,le,le,XVIII_19,Det,Det,le,7s,---,C/(e)\
105,19,7,jour,jour,XVIII_19,N,N,,7s,---,C/V\
106,20,1,qui,qui,XVIII_20,Qux,Qux,qui,7s,---,C/V\
107,20,2,me,me,XVIII_20,Prn,Prn$$,1ps,7s,---,C/(e)\
108,20,3,face,face,XVIII_20,Vfin,Vfin,faire,7s,---,'C/V\.C/(e)\
109,20,4,resjoir,resjoir,XVIII_20,Vinf,Vinf,réjouir,7s,---,C/V\.C/V\.'C/V\
110,21,1,de,de,XVIII_21,Pre,Pre,de,7s,---,C/(e)\
111,21,2,vous,vous,XVIII_21,Prn,Prn,2pp,7s,---,C/V\
112,21,3,veoir,veoir,XVIII_21,Vinf,Vinf,voir,7s,---,C/(V)\.'/V\
113,21,4,et,et,XVIII_21,Crd,Crd,et,7s,---,/V\
114,21,5,oïr,oïr,XVIII_21,Vinf,Vinf,ouïr,7s,---,/V\.'C/V\
115,21,6,.,.,XVIII_21,Pnc,Pnc,,7s,---,
116,22,1,„,„,XXVI_1,Pnc,Pnc,,7s,---,
117,22,2,dame,dame,XXVI_1,N,N,,7s,---,'C/V\.C/(e)\
118,22,3,plaisant,plaisant,XXVI_1,Vprs,Vprs,plaire,7s,---,C/V\.'C/V\
119,22,4,",",",",XXVI_1,Pnc,Pnc,,7s,---,
120,22,5,nette,nette,XXVI_1,Adj,Adj,,7s,---,'C/V\.C/(e)\
121,22,6,et,et,XXVI_1,Crd,Crd,et,7s,---,/V\
122,22,7,pure,pure,XXVI_1,Adj,Adj,,7s,---,'C/V\.C/(e)\
123,22,8,",",",",XXVI_1,Pnc,Pnc,,7s,---,
124,23,1,delitable,delitable,XXVI_2,Adj,Adj,,7s,---,C/V\.C/V\.'C/V\.C/(e)\
125,23,2,a,a,XXVI_2,Pre,Pre,à,7s,---,/V\
126,23,3,regarder,regarder,XXVI_2,Vinf,Vinf,regarder,7s,---,C/V\.C/V\.'C/V\
127,23,4,",",",",XXVI_2,Pnc,Pnc,,7s,---,
128,24,1,vo,vo,XXVI_3,Det,Det,votre,7s,---,C/V\
129,24,2,gracieuse,gracieuse,XXVI_3,Adj,Adj,,7s,---,C/V\.C/V\.'C/V\.C/(e)\
130,24,3,figure,figure,XXVI_3,N,N,,7s,---,C/V\.'C/V\.C/(e)\
131,25,1,et,et,XXVI_4,Crd,Crd,et,7s,---,/V\
132,25,2,vo,vo,XXVI_4,Det,Det,votre,7s,---,C/V\
133,25,3,doulz,doulz,XXVI_4,Adj,Adj,doux,7s,---,C/V\
134,25,4,viaire,viaire,XXVI_4,N,N,,7s,---,C/V\.'C/V\.C/(e)\
135,25,5,cler,cler,XXVI_4,Adj,Adj,clair,7s,---,C/V\
136,26,1,desir,desir,XXVI_5,Vfin,Vfin,désirer,7s,---,C/V\.'C/V\
137,26,2,tant,tant,XXVI_5,QIs,QIs,tant,7s,---,C/V\
138,26,3,a,a,XXVI_5,Pre,Pre,à,7s,---,/V\
139,26,4,remirer,remirer,XXVI_5,Vinf,Vinf,remirer,7s,---,C/V\.C/V\.'C/V\
140,27,1,que,que,XXVI_6,Sub,Sub,que,7s,---,C/(e)\
141,27,2,tous,tous,XXVI_6,QIs,QIs,tous,7s,---,C/V\
142,27,3,mes,mes,XXVI_6,Det,Det,mon,7s,---,C/V\
143,27,4,scens,scens,XXVI_6,N,N,,7s,---,C/V\
144,27,5,s',s',XXVI_6,Prn,Prn$$,se,7s,---,C/\
145,27,6,en,en,XXVI_6,Prn,Prn$$,en2,7s,---,/V\
146,27,7,desvoie,desvoie,XXVI_6,Vfin,Vfin,dévoyer,7s,---,C/V\.'C/V\./(e)\
147,27,8,",",",",XXVI_6,Pnc,Pnc,,7s,---,
148,28,1,s',s',XXVI_7,Sub,Sub,si3,7s,---,C/\
149,28,2,ainsi,ainsi,XXVI_7,Adv,Adv,ainsi,7s,---,/V\.'C/V\
150,28,3,est,est,XXVI_7,Vfin,Vfin,être,7s,---,/V\
151,28,4,que,que,XXVI_7,Sub,Sub,que,7s,---,C/(e)\
152,28,5,ne,ne,XXVI_7,Neg,Neg,ne,7s,---,C/(e)\
153,28,6,vous,vous,XXVI_7,Prn,Prn$$,2pp,7s,---,C/V\
154,28,7,voie,voie,XXVI_7,Vfin,Vfin,voir,7s,---,'C/V\./(e)\
155,28,8,“,“,XXVI_7,Pnc,Pnc,,7s,---,
156,28,9,.,.,XXVI_7,Pnc,Pnc,,7s,---,
157,29,1,„,„,XXVI_8,Pnc,Pnc,,7s,---,
158,29,2,se,se,XXVI_8,Sub,Sub,si3,7s,---,C/(e)\
159,29,3,vostre,vostre,XXVI_8,Det,Det,votre,7s,---,'C/V\.C/(e)\
160,29,4,dolour,dolour,XXVI_8,N,N,,7s,---,C/V\.'C/V\
161,29,5,est,est,XXVI_8,Vfin,Vfin,être,7s,---,/V\
162,29,6,dure,dure,XXVI_8,Adj,Adj,dur,7s,---,'C/V\.C/(e)\
163,29,7,",",",",XXVI_8,Pnc,Pnc,,7s,---,
164,30,1,dous,dous,XXVI_9,Adj,Adj,doux,7s,---,C/V\
165,30,2,amis,amis,XXVI_9,N,N,,7s,---,/V\.'C/V\
166,30,3,",",",",XXVI_9,Pnc,Pnc,,7s,---,
167,30,4,a,a,XXVI_9,Pre,Pre,à,7s,---,/V\
168,30,5,endurer,endurer,XXVI_9,Vinf,Vinf,endurer,7s,---,/V\.C/V\.'C/V\
169,31,1,sachiés,sachiés,XXVI_10,Vfin,Vfin,savoir,7s,---,C/V\.'C/V\
170,31,2,que,que,XXVI_10,Sub,Sub,que,7s,---,C/(e)\
171,31,3,ma,ma,XXVI_10,Det,Det,mon,7s,---,C/V\
172,31,4,norriture,norriture,XXVI_10,N,N,,7s,---,C/V\.C/V\.'C/V\.C/(e)\
173,32,1,est,est,XXVI_11,Vfin,Vfin,être,7s,---,/V\
174,32,2,de,de,XXVI_11,Pre,Pre,de,7s,---,C/(e)\
175,32,3,pleindre,pleindre,XXVI_11,Vinf,Vinf,plaindre,7s,---,'C/V\.C/(e)\
176,32,4,et,et,XXVI_11,Crd,Crd,et,7s,---,/V\
177,32,5,de,de,XXVI_11,Pre,Pre,de,7s,---,C/(e)\
178,32,6,plourer,plourer,XXVI_11,Vinf,Vinf,pleurer,7s,---,C/V\.'C/V\
179,32,7,.,.,XXVI_11,Pnc,Pnc,,7s,---,
180,33,1,einsi,einsi,XXVI_12,Adv,Adv,ainsi,7s,---,/V\.'C/V\
181,33,2,ne,ne,XXVI_12,Neg,Neg,ne,7s,---,C/(e)\
182,33,3,puis,puis,XXVI_12,Vfin,Vfin,pouvoir2,7s,---,C/V\
183,33,4,plus,plus,XXVI_12,Adv,Adv,plus,7s,---,C/V\
184,33,5,durer,durer,XXVI_12,Vinf,Vinf,durer,7s,---,C/V\.'C/V\
185,33,6,",",",",XXVI_12,Pnc,Pnc,,7s,---,
186,34,1,ains,ains,XXVI_13,Crd,Crd,ains,7s,---,/V\
187,34,2,desir,desir,XXVI_13,Vfin,Vfin,désirer,7s,---,C/V\.'C/V\
188,34,3,que,que,XXVI_13,Sub,Sub,que,7s,---,C/(e)\
189,34,4,morte,morte,XXVI_13,Vpp,Vpp,mourir,7s,---,'C/V\.C/(e)\
190,34,5,soie,soie,XXVI_13,Vfin,Vfin,être,7s,---,'C/V\./(e)\
191,34,6,",",",",XXVI_13,Pnc,Pnc,,7s,---,
192,35,1,s',s',XXVI_14,Sub,Sub,si3,7s,---,C/\
193,35,2,ainsi,ainsi,XXVI_14,Adv,Adv,ainsi,7s,---,/V\.'C/V\
194,35,3,est,est,XXVI_14,Vfin,Vfin,être,7s,---,/V\
195,35,4,que,que,XXVI_14,Sub,Sub,que,7s,---,C/(e)\
196,35,5,ne,ne,XXVI_14,Neg,Neg,ne,7s,---,C/(e)\
197,35,6,vous,vous,XXVI_14,Prn,Prn$$,2pp,7s,---,C/V\
198,35,7,voie,voie,XXVI_14,Vfin,Vfin,voir,7s,---,'C/V\./(e)\
199,35,8,“,“,XXVI_14,Pnc,Pnc,,7s,---,
200,35,9,.,.,XXVI_14,Pnc,Pnc,,7s,---,
201,36,1,„,„,XXVI_15,Pnc,Pnc,,7s,---,
202,36,2,helas,helas,XXVI_15,Exc,Exc,,7s,---,/V\.'C/V\
203,36,3,!,!,XXVI_15,Pnc,Pnc,,7s,---,
204,36,4,douce,douce,XXVI_15,Adj,Adj,doux,7s,---,'C/V\.C/(e)\
205,36,5,creature,creature,XXVI_15,N,N,,7s,---,C/V\.C/V\.'C/V\.C/(e)\
206,36,6,",",",",XXVI_15,Pnc,Pnc,,7s,---,
207,37,1,c',c',XXVI_16,Sub,Sub,que,7s,---,C/\
208,37,2,on,on,XXVI_16,Prn,Prn$,on,7s,---,/V\
209,37,3,ne,ne,XXVI_16,Neg,Neg,ne,7s,---,C/(e)\
210,37,4,porroit,porroit,XXVI_16,Vfin,Vfin,pouvoir2,7s,---,C/V\.'C/V\
211,37,5,comparer,comparer,XXVI_16,Vinf,Vinf,comparer,7s,---,C/V\.C/V\.'C/V\
212,37,6,",",",",XXVI_16,Pnc,Pnc,,7s,---,
213,38,1,sentés,sentés,XXVI_17,Vfin,Vfin,sentir,7s,---,C/V\.'C/V\
214,38,2,vous,vous,XXVI_17,Prn,Prn%%,2pp,7s,---,C/V\
215,38,3,dont,dont,XXVI_17,Adv,Adv,donc,7s,---,C/V\
216,38,4,la,la,XXVI_17,Det,Det,le,7s,---,C/V\
217,38,5,pointure,pointure,XXVI_17,N,N,,7s,---,C/V\.'C/V\.C/(e)\
218,39,1,de,de,XXVI_18,Pre,Pre,de,7s,---,C/(e)\
219,39,2,vostre,vostre,XXVI_18,Det,Det,votre,7s,---,'C/V\.C/(e)\
220,39,3,ami,ami,XXVI_18,N,N,,7s,---,/V\.'C/V\
221,39,4,desirer,desirer,XXVI_18,Vinf,Vinf,désirer,7s,---,C/V\.C/V\.'C/V\
222,39,5,?,?,XXVI_18,Pnc,Pnc,,7s,---,
223,40,1,certes,certes,XXVI_19,Adv,Adv,certes,7s,---,'C/V\.C/e\
224,40,2,",",",",XXVI_19,Pnc,Pnc,,7s,---,
225,40,3,or,or,XXVI_19,Adv,Adv,or2,7s,---,/V\
226,40,4,doit,doit,XXVI_19,Vfin,Vfin,devoir2,7s,---,C/V\
227,40,5,bien,bien,XXVI_19,Adv,Adv,bien,7s,---,C/V\
228,40,6,doubler,doubler,XXVI_19,Vinf,Vinf,doubler,7s,---,C/V\.'C/V\
229,41,1,la,la,XXVI_20,Det,Det,le,7s,---,C/V\
230,41,2,dolour,dolour,XXVI_20,N,N,,7s,---,C/V\.'C/V\
231,41,3,qui,qui,XXVI_20,Qux,Qux,qui,7s,---,C/V\
232,41,4,me,me,XXVI_20,Prn,Prn$$,1ps,7s,---,C/(e)\
233,41,5,maistroie,maistroie,XXVI_20,Vfin,Vfin,maîtrier,7s,---,C/V\.'C/V\./(e)\
234,41,6,",",",",XXVI_20,Pnc,Pnc,,7s,---,
235,42,1,s',s',XXVI_21,Sub,Sub,si3,7s,---,C/\
236,42,2,ainsi,ainsi,XXVI_21,Adv,Adv,ainsi,7s,---,/V\.'C/V\
237,42,3,est,est,XXVI_21,Vfin,Vfin,être,7s,---,/V\
238,42,4,que,que,XXVI_21,Sub,Sub,que,7s,---,C/(e)\
239,42,5,ne,ne,XXVI_21,Neg,Neg,ne,7s,---,C/(e)\
240,42,6,vous,vous,XXVI_21,Prn,Prn$$,2pp,7s,---,C/V\
241,42,7,voie,voie,XXVI_21,Vfin,Vfin,voir,7s,---,'C/V\./(e)\
242,42,8,“,“,XXVI_21,Pnc,Pnc,,7s,---,
243,42,9,.,.,XXVI_21,Pnc,Pnc,,7s,---,
244,43,1,„,„,XXVI_22,Pnc,Pnc,,7s,---,
245,43,2,eimmi,eimmi,XXVI_22,Exc,Exc,,7s,---,/V\.'C/V\
246,43,3,!,!,XXVI_22,Pnc,Pnc,,7s,---,
247,43,4,elle,elle,XXVI_22,Prn,Prn$,elle,7s,---,'/V\.C/(e)\
248,43,5,m',m',XXVI_22,Prn,Prn$$,1ps,7s,---,C/\
249,43,6,est,est,XXVI_22,Vfin,Vfin,être,7s,---,/V\
250,43,7,si,si,XXVI_22,Adv,Adv,si4,7s,---,C/V\
251,43,8,dure,dure,XXVI_22,Adj,Adj,dur,7s,---,'C/V\.C/(e)\
252,43,9,",",",",XXVI_22,Pnc,Pnc,,7s,---,
253,44,1,dous,dous,XXVI_23,Adj,Adj,doux,7s,---,C/V\
254,44,2,amis,amis,XXVI_23,N,N,,7s,---,/V\.'C/V\
255,44,3,",",",",XXVI_23,Pnc,Pnc,,7s,---,
256,44,4,loiaus,loiaus,XXVI_23,Adj,Adj,,7s,---,C/V\.'C/V\
257,44,5,",",",",XXVI_23,Pnc,Pnc,,7s,---,
258,44,6,sans,sans,XXVI_23,Pre,Pre,sans,7s,---,C/V\
259,44,7,per,per,XXVI_23,N,N,,7s,---,C/V\
260,44,8,",",",",XXVI_23,Pnc,Pnc,,7s,---,
261,45,1,que,que,XXVI_24,Sub,Sub,que,7s,---,C/(e)\
262,45,2,toute,toute,XXVI_24,QIs,QIs,tout,7s,---,'C/V\.C/(e)\
263,45,3,m',m',XXVI_24,Det,Det,mon,7s,---,C/\
264,45,4,envoiseure,envoiseure,XXVI_24,N,N,,7s,---,/V\.C/V\.C/(V)\.'/V\.C/(e)\
265,46,1,et,et,XXVI_25,Crd,Crd,et,7s,---,/V\
266,46,2,ma,ma,XXVI_25,Det,Det,mon,7s,---,C/V\
267,46,3,joie,joie,XXVI_25,N,N,,7s,---,'C/V\./(e)\
268,46,4,entroublier,entroublier,XXVI_25,Vinf,Vinf,entroublier,7s,---,/V\.C/V\.C/V\.'C/V\
269,47,1,me,me,XXVI_26,Prn,Prn$$,1ps,7s,---,C/(e)\
270,47,2,fait,fait,XXVI_26,Vfin,Vfin,faire,7s,---,C/V\
271,47,3,;,;,XXVI_26,Pnc,Pnc,,7s,---,
272,47,4,ne,ne,XXVI_26,Crd,Crd,ne2,7s,---,C/(e)\
273,47,5,reconforter,reconforter,XXVI_26,Vinf,Vinf,réconforter,7s,---,C/e\.C/V\.C/V\.'C/V\
274,48,1,nullement,nullement,XXVI_27,Adv,Adv,,7s,---,C/V\.C/e\.'C/V\
275,48,2,ne,ne,XXVI_27,Neg,Neg,ne,7s,---,C/(e)\
276,48,3,me,me,XXVI_27,Prn,Prn$$,1ps,7s,---,C/(e)\
277,48,4,porroie,porroie,XXVI_27,Vfin,Vfin,pouvoir2,7s,---,C/V\.'C/V\./(e)\
278,48,5,",",",",XXVI_27,Pnc,Pnc,,7s,---,
279,49,1,s',s',XXVI_28,Sub,Sub,si3,7s,---,C/\
280,49,2,ainsi,ainsi,XXVI_28,Adv,Adv,ainsi,7s,---,/V\.'C/V\
281,49,3,est,est,XXVI_28,Vfin,Vfin,être,7s,---,/V\
282,49,4,que,que,XXVI_28,Sub,Sub,que,7s,---,C/(e)\
283,49,5,ne,ne,XXVI_28,Neg,Neg,ne,7s,---,C/(e)\
284,49,6,vous,vous,XXVI_28,Prn,Prn$$,2pp,7s,---,C/V\
285,49,7,voie,voie,XXVI_28,Vfin,Vfin,voir,7s,---,'C/V\./(e)\
286,49,8,“,“,XXVI_28,Pnc,Pnc,,7s,---,
287,49,9,.,.,XXVI_28,Pnc,Pnc,,7s,---,
288,50,1,las,las,LII_1,Adj,Adj,las,7s,---,C/V\
289,50,2,!,!,LII_1,Pnc,Pnc,,7s,---,
290,50,3,amours,amours,LII_1,N,N,,7s,---,/V\.'C/V\
291,50,4,me,me,LII_1,Prn,Prn$$,1ps,7s,---,C/(e)\
292,50,5,soloit,soloit,LII_1,Vfin,Vfin,souloir,7s,---,C/V\.'C/V\
293,50,6,estre,estre,LII_1,Vinf,Vinf,être,7s,---,'/V\.C/(e)\
294,51,1,douce,douce,LII_2,Adj,Adj,doux,7s,---,'C/V\.C/(e)\
295,51,2,",",",",LII_2,Pnc,Pnc,,7s,---,
296,51,3,courtoise,courtoise,LII_2,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\
297,51,4,et,et,LII_2,Crd,Crd,et,7s,---,/V\
298,51,5,po,po,LII_2,Adv,Adv,peu,7s,---,C/V\
299,51,6,fiere,fiere,LII_2,Adj,Adj,fier,7s,---,'C/V\.C/(e)\
300,51,7,",",",",LII_2,Pnc,Pnc,,7s,---,
301,52,1,et,et,LII_3,Crd,Crd,et,7s,---,/V\
302,52,2,de,de,LII_3,Pre,Pre,de,7s,---,C/(e)\
303,52,3,ses,ses,LII_3,Det,Det,son4,7s,---,C/V\
304,52,4,dous,dous,LII_3,Adj,Adj,doux,7s,---,C/V\
305,52,5,biens,biens,LII_3,N,N,bien,7s,---,C/V\
306,52,6,repaistre,repaistre,LII_3,Vinf,Vinf,repaître,7s,---,C/V\.'C/V\.C/(e)\
307,52,7,",",",",LII_3,Pnc,Pnc,,7s,---,
308,53,1,com,com,LII_4,Sub,Sub,comme,7s,---,C/V\
309,53,2,vraie,vraie,LII_4,Adj,Adj,vrai,7s,---,'C/V\./(e)\
310,53,3,amoureuse,amoureuse,LII_4,Adj,Adj,,7s,---,/V\.C/V\.'C/V\.C/(e)\
311,53,4,mere,mere,LII_4,N,N,,7s,---,'C/V\.C/(e)\
312,53,5,.,.,LII_4,Pnc,Pnc,,7s,---,
313,54,1,or,or,LII_5,Adv,Adv,or2,7s,---,/V\
314,54,2,m',m',LII_5,Prn,Prn$$,1ps,7s,---,C/\
315,54,3,est,est,LII_5,Vfin,Vfin,être,7s,---,/V\
316,54,4,sa,sa,LII_5,Det,Det,son4,7s,---,C/V\
317,54,5,grace,grace,LII_5,N,N,,7s,---,'C/V\.C/(e)\
318,54,6,si,si,LII_5,Adv,Adv,si4,7s,---,C/V\
319,54,7,chiere,chiere,LII_5,Adj,Adj,cher,7s,---,'C/V\.C/(e)\
320,55,1,qu',qu',LII_6,Sub,Sub,que,7s,---,C/\
321,55,2,en,en,LII_6,Pre,Pre,en,7s,---,/V\
322,55,3,dolour,dolour,LII_6,N,N,,7s,---,C/V\.'C/V\
323,55,4,me,me,LII_6,Prn,Prn$$,1ps,7s,---,C/(e)\
324,55,5,fait,fait,LII_6,Vfin,Vfin,faire,7s,---,C/V\
325,55,6,languir,languir,LII_6,Vinf,Vinf,languir,7s,---,C/V\.'C/V\
326,56,1,et,et,LII_7,Crd,Crd,et,7s,---,/V\
327,56,2,avoir,avoir,LII_7,Vinf,Vinf,avoir,7s,---,/V\.'C/V\
328,56,3,toute,toute,LII_7,QIs,QIs,tout,7s,---,'C/V\.C/(e)\
329,56,4,grieté,grieté,LII_7,N,N,,7s,---,C/V\.C/(V)\.'/V\
330,56,5,",",",",LII_7,Pnc,Pnc,,7s,---,
331,57,1,quant,quant,LII_8,Sub,Sub,quand,7s,---,C/V\
332,57,2,je,je,LII_8,Prn,Prn$,je,7s,---,C/(e)\
