wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref,tei_right,tei_left
27,6,5,deluge,deluge,XXIV(IIp536)_6,N,N,déluge,7s,---,C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",,
28,6,6,;,;,XXIV(IIp536)_6,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 6",</l>,
29,7,1,j',j',XXIV(IIp536)_7,Prn,Prn$,je,7s,---,C/\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,<l n=&quot;7&quot;>
30,7,2,en,en,XXIV(IIp536)_7,Prn,Prn$$,en2,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,
31,7,3,tiray,tiray,XXIV(IIp536)_7,Vfin,Vfin,tirer,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,
32,7,4,vin,vin,XXIV(IIp536)_7,N,N,vin,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,
33,7,5,et,et,XXIV(IIp536)_7,Crd,Crd,et,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,
34,7,6,goustay,goustay,XXIV(IIp536)_7,Vfin,Vfin,goûter,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",,
35,7,7,",",",",XXIV(IIp536)_7,Pnc,Pnc,",",7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 7",</l>,
36,8,1,tant,tant,XXIV(IIp536)_8,QIs,QIs,tant,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",,<l n=&quot;8&quot;>
37,8,2,en,en,XXIV(IIp536)_8,Pre,Pre,en,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",,
38,8,3,mon,mon,XXIV(IIp536)_8,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",,
39,8,4,ventre,ventre,XXIV(IIp536)_8,N,N,ventre,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",,
40,8,5,en,en,XXIV(IIp536)_8,Prn,Prn$$,en2,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",,
41,8,6,bouttay,bouttay,XXIV(IIp536)_8,Vfin,Vfin,bouter,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 8",</l>,
42,9,1,que,que,XXIV(IIp536)_9,Sub,Sub,que,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",,<l n=&quot;9&quot;>
43,9,2,dormir,dormir,XXIV(IIp536)_9,Vinf,Vinf,dormir,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",,
44,9,3,me,me,XXIV(IIp536)_9,Prn,Prn$$,me,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",,
45,9,4,fut,fut,XXIV(IIp536)_9,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",,
46,9,5,refuge,refuge,XXIV(IIp536)_9,N,N,refuge,7s,---,C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",,
47,9,6,;,;,XXIV(IIp536)_9,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 9",</l>,
48,10,1,de,de,XXIV(IIp536)_10,Pre,Pre,de,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,<l n=&quot;10&quot;>
49,10,2,cham,cham,XXIV(IIp536)_10,N,N,Cham,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
50,10,3,",",",",XXIV(IIp536)_10,Pnc,Pnc,",",7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
51,10,4,mon,mon,XXIV(IIp536)_10,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
52,10,5,fils,fils,XXIV(IIp536)_10,N,N,fils,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
53,10,6,",",",",XXIV(IIp536)_10,Pnc,Pnc,",",7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
54,10,7,raillié,raillié,XXIV(IIp536)_10,Vpp,Vpp,railler,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
55,10,8,fus,fus,XXIV(IIp536)_10,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
56,10,9,je,je,XXIV(IIp536)_10,Prn,Prn%,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",,
57,10,10,",",",",XXIV(IIp536)_10,Pnc,Pnc,",",7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 10",</l>,
58,11,1,qui,qui,XXIV(IIp536)_11,Qux,Qux,qui,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 11",,<l n=&quot;11&quot;>
59,11,2,perchut,perchut,XXIV(IIp536)_11,Vfin,Vfin,percevoir,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 11",,
60,11,3,mes,mes,XXIV(IIp536)_11,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 11",,
61,11,4,genitoires,genitoires,XXIV(IIp536)_11,N,N,génitoires,7s,---,C/V\.C/V\.'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 11",,
62,11,5,:,:,XXIV(IIp536)_11,Pnc,Pnc,:,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 11",</l>,
63,12,1,mauldit,mauldit,XXIV(IIp536)_12,Vpp,Vpp,maudire,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",,<l n=&quot;12&quot;>
64,12,2,fus,fus,XXIV(IIp536)_12,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",,
65,12,3,par,par,XXIV(IIp536)_12,Pre,Pre,par,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",,
66,12,4,mes,mes,XXIV(IIp536)_12,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",,
67,12,5,boittoires,boittoires,XXIV(IIp536)_12,N,N,boitoire,7s,---,C/V\.'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",,
68,12,6,.,.,XXIV(IIp536)_12,Pnc,Pnc,.,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 12",</l></lg>,
69,13,1,je,je,XXIV(IIp536)_13,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 13",,<pb n=&quot;537&quot;/><lg type=&quot;stanza&quot;><head>Genesis XIIIIo</head><l n=&quot;13&quot;>
70,13,2,codorlahomor,codorlahomor,XXIV(IIp536)_13,N,N,Kedorlaomer,7s,---,C/V\.C/V\.C/V\.C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 13",,
71,13,3,tins,tins,XXIV(IIp536)_13,Vfin,Vfin,tenir,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 13",</l>,
72,14,1,cincq,cincq,XXIV(IIp536)_14,QIs,QIs,cinq,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,<l n=&quot;14&quot;>
73,14,2,grands,grands,XXIV(IIp536)_14,Adj,Adj,grand,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,
74,14,3,roix,roix,XXIV(IIp536)_14,N,N,roi,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,
75,14,4,en,en,XXIV(IIp536)_14,Pre,Pre,en,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,
76,14,5,mon,mon,XXIV(IIp536)_14,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,
77,14,6,command,command,XXIV(IIp536)_14,N,N,command,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",,
78,14,7,;,;,XXIV(IIp536)_14,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 14",</l>,
79,15,1,je,je,XXIV(IIp536)_15,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,<l n=&quot;15&quot;>
80,15,2,prins,prins,XXIV(IIp536)_15,Vfin,Vfin,prendre,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,
81,15,3,loth,loth,XXIV(IIp536)_15,N,N,Loth,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,
82,15,4,et,et,XXIV(IIp536)_15,Crd,Crd,et,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,
83,15,5,ses,ses,XXIV(IIp536)_15,Det,Det,son4,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,
84,15,6,buttins,buttins,XXIV(IIp536)_15,N,N,butin,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",,
85,15,7,;,;,XXIV(IIp536)_15,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 15",</l>,
86,16,1,abraham,abraham,XXIV(IIp536)_16,N,N,Abraham,7s,---,/V\.C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 16",,<l n=&quot;16&quot;>
87,16,2,par,par,XXIV(IIp536)_16,Pre,Pre,par,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 16",,
88,16,3,grands,grands,XXIV(IIp536)_16,Adj,Adj,grand,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 16",,
89,16,4,huttins,huttins,XXIV(IIp536)_16,N,N,hutin,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 16",</l>,
90,17,1,me,me,XXIV(IIp536)_17,Prn,Prn$$,me,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",,<l n=&quot;17&quot;>
91,17,2,vint,vint,XXIV(IIp536)_17,Vfin,Vfin,venir,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",,
92,17,3,surprendre,surprendre,XXIV(IIp536)_17,Vinf,Vinf,surprendre,7s,---,C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",,
93,17,4,en,en,XXIV(IIp536)_17,Pre,Pre,en,7s,---,/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",,
94,17,5,dormant,dormant,XXIV(IIp536)_17,Vprs,Vprs,dormir,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",,
95,17,6,;,;,XXIV(IIp536)_17,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 17",</l>,
96,18,1,je,je,XXIV(IIp536)_18,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 18",,<l n=&quot;18&quot;>
97,18,2,finay,finay,XXIV(IIp536)_18,Vfin,Vfin,finer,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 18",,
98,18,3,comme,comme,XXIV(IIp536)_18,Sub,Sub,comme,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 18",,
99,18,4,gormand,gormand,XXIV(IIp536)_18,Adj,Adj,gourmand,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 18",,
100,18,5,",",",",XXIV(IIp536)_18,Pnc,Pnc,",",7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 18",</l>,
101,19,1,enyvré,enyvré,XXIV(IIp536)_19,Vpp,Vpp,enivrer,7s,---,/V\.C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 19",,<l n=&quot;19&quot;>
102,19,2,sans,sans,XXIV(IIp536)_19,Pre,Pre,sans,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 19",,
103,19,3,riens,riens,XXIV(IIp536)_19,N,N,rien,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 19",,
104,19,4,cremir,cremir,XXIV(IIp536)_19,Vinf,Vinf,crémir,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 19",,
105,19,5,:,:,XXIV(IIp536)_19,Pnc,Pnc,:,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 19",</l>,
106,20,1,pance,pance,XXIV(IIp536)_20,N,N,panse,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 20",,<l n=&quot;20&quot;>
107,20,2,plaine,plaine,XXIV(IIp536)_20,Adj,Adj,plein,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 20",,
108,20,3,fait,fait,XXIV(IIp536)_20,Vfin,Vfin,faire,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 20",,
109,20,4,dormir,dormir,XXIV(IIp536)_20,Vinf,Vinf,dormir,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 20",,
110,20,5,.,.,XXIV(IIp536)_20,Pnc,Pnc,.,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 20",</l></lg>,
111,21,1,je,je,XXIV(IIp536)_21,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 21",,<lg type=&quot;stanza&quot;><head>Genesis XIXo</head><l n=&quot;21&quot;>
112,21,2,suis,suis,XXIV(IIp536)_21,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 21",,
113,21,3,loth,loth,XXIV(IIp536)_21,N,N,Loth,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 21",,
114,21,4,qui,qui,XXIV(IIp536)_21,Qux,Qux,qui,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 21",,
115,21,5,eschappay,eschappay,XXIV(IIp536)_21,Vfin,Vfin,échapper,7s,---,/V\.C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 21",</l>,
116,22,1,de,de,XXIV(IIp536)_22,Pre,Pre,de,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",,<l n=&quot;22&quot;>
117,22,2,cincqz,cincqz,XXIV(IIp536)_22,QIs,QIs,cinq,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",,
118,22,3,cités,cités,XXIV(IIp536)_22,N,N,cité,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",,
119,22,4,qui,qui,XXIV(IIp536)_22,Qux,Qux,qui,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",,
120,22,5,fondirent,fondirent,XXIV(IIp536)_22,Vfin,Vfin,fondre,7s,---,C/V\.'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",,
121,22,6,;,;,XXIV(IIp536)_22,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 22",</l>,
122,23,1,tant,tant,XXIV(IIp536)_23,QIs,QIs,tant,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 23",,<l n=&quot;23&quot;>
123,23,2,horriblement,horriblement,XXIV(IIp536)_23,Adv,Adv,horriblement,7s,---,/V\.C/V\.C/e\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 23",,
124,23,3,choppay,choppay,XXIV(IIp536)_23,Vfin,Vfin,chopper,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 23",</l>,
125,24,1,par,par,XXIV(IIp536)_24,Pre,Pre,par,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",,<l n=&quot;24&quot;>
126,24,2,le,le,XXIV(IIp536)_24,Det,Det,le,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",,
127,24,3,vin,vin,XXIV(IIp536)_24,N,N,vin,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",,
128,24,4,que,que,XXIV(IIp536)_24,Sub,Sub,que,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",,
129,24,5,je,je,XXIV(IIp536)_24,Prn,Prn$,je,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",,
130,24,6,happay,happay,XXIV(IIp536)_24,Vfin,Vfin,happer,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 24",</l>,
131,25,1,que,que,XXIV(IIp536)_25,Sub,Sub,que,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,<l n=&quot;25&quot;>
132,25,2,mes,mes,XXIV(IIp536)_25,Det,Det,mon,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,
133,25,3,cinqs,cinqs,XXIV(IIp536)_25,QIs,QIs,cinq,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,
134,25,4,sens,sens,XXIV(IIp536)_25,N,N,sens,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,
135,25,5,me,me,XXIV(IIp536)_25,Prn,Prn$$,me,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,
136,25,6,fallirent,fallirent,XXIV(IIp536)_25,Vfin,Vfin,faillir,7s,---,C/V\.'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",,
137,25,7,;,;,XXIV(IIp536)_25,Pnc,Pnc,;,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 25",</l>,
138,26,1,mes,mes,XXIV(IIp536)_26,Crd,Crd,mais,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 26",,<l n=&quot;26&quot;>
139,26,2,deux,deux,XXIV(IIp536)_26,QIs,QIs,deux,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 26",,
140,26,3,filles,filles,XXIV(IIp536)_26,N,N,fille,7s,---,'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 26",,
141,26,4,m',m',XXIV(IIp536)_26,Prn,Prn$$,me,7s,---,C/\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 26",,
142,26,5,asallirent,asallirent,XXIV(IIp536)_26,Vfin,Vfin,assaillir,7s,---,/V\.C/V\.'C/V\.C/e\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 26",</l>,
143,27,1,que,que,XXIV(IIp536)_27,Sub,Sub,que,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",,<l n=&quot;27&quot;>
144,27,2,j',j',XXIV(IIp536)_27,Prn,Prn$,je,7s,---,C/\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",,
145,27,3,engrossay,engrossay,XXIV(IIp536)_27,Vfin,Vfin,engrosser,7s,---,/V\.C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",,
146,27,4,d',d',XXIV(IIp536)_27,Pre,Pre,de,7s,---,C/\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",,
147,27,5,abundance,abundance,XXIV(IIp536)_27,N,N,abondance,7s,---,/V\.C/V\.'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",,
148,27,6,:,:,XXIV(IIp536)_27,Pnc,Pnc,:,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 27",</l>,
149,28,1,de,de,XXIV(IIp536)_28,Pre,Pre,de,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,<l n=&quot;28&quot;>
150,28,2,le,le,XXIV(IIp536)_28,Det,Det,le,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,
151,28,3,pance,pance,XXIV(IIp536)_28,N,N,panse,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,
152,28,4,vient,vient,XXIV(IIp536)_28,Vfin,Vfin,venir,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,
153,28,5,le,le,XXIV(IIp536)_28,Det,Det,le,7s,---,C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,
154,28,6,dance,dance,XXIV(IIp536)_28,N,N,danse,7s,---,'C/V\.C/(e)\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",,
155,28,7,.,.,XXIV(IIp536)_28,Pnc,Pnc,.,7s,---,,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 28",</l></lg>,
156,29,1,nabal,nabal,XXIV(IIp536)_29,N,N,Nabal,7s,---,C/V\.'C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 29",,<lg type=&quot;stanza&quot;><head>Primi Regum XXVo</head><l n=&quot;29&quot;>
157,29,2,suis,suis,XXIV(IIp536)_29,Vfin,Vfin,être,7s,---,C/V\,"MolinetFaictz, Poésies religieuses et parodies no XXIV, v. 29",,
