wd_id,word,lemma_ofl,lemma,lemma_score,lex_id,textlineid,syntag,syntag2,syllabified,pos,
138,aprés,après,après,8,aprés,101007,PrA,PrA,/V\.'C/V\,ADV,
139,",",",",,9,",",101007,Pnc,Pnc,,PUNCT,
140,mes,mon,mon,7,mes,101007,Det,Det,C/V\,DET,
141,sens,sens,,8,sens,101007,N,N,C/V\,NOUN,
142,liez,lié,lier,5,liez,101007,Vpp,Vpp,C/V\,ADJ,
143,par,par,par,8,par,101007,Pre,Pre,C/V\,ADP,
144,la,le,le,8,la,101007,Det,Det,C/V\,DET,
145,pesanteur,pesanteur,,9,pesanteur,101008,N,N,C/V\.C/V\.'C/V\,NOUN,
146,de,de,de,8,de,101008,Pre,Pre,C/(e)\,ADP,
147,somme,somme,,8,somme,101008,N,N,'C/V\.C/(e)\,NOUN,
148,",",",",,9,",",101008,Pnc,Pnc,,PUNCT,
149,me,me,me,5,me,101008,Prn,Prn$$,C/(e)\,PRON,
150,survenist,survenir,survenir,9,survenist,101008,Vfin,Vfin,C/V\.C/e\.'C/V\,VERB,
151,merveilleuse,merveilleux,,9,merveilleuse,101008,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\,ADJ,
152,advision,avision,,9,advision,101008,N,N,/V\.C/V\.C/{V}\.'/V\,NOUN,
153,en,en,en,8,en,101008,Pre,Pre,/V\,ADP,
154,signe,signe,,3,signe,101008,N,N,'C/V\.C/(e)\,NOUN,
155,d',de,de,9,d',101009,Pre,Pre,C/\,ADP,
156,estrange,étrange,,8,estrange,101009,Adj,Adj,/V\.'C/V\.C/(e)\,ADJ,
157,presage,présage,,-10,presage,101009,N,N,C/V\.'C/V\.C/(e)\,NOUN,
158,",",",",,9,",",101009,Pnc,Pnc,,PUNCT,
159,tout,tout,tout,8,tout,101009,QIs,QIs,C/V\,ADV,
160,ne,ne,ne,8,ne,101009,Neg,Neg$$,C/(e)\,ADV,
161,soie,être,être,3,soie,101009,Vfin,Vfin,'C/V\./(e)\,VERB,
162,mie,mie,mie3,8,mie,101009,Neg,Neg,'C/V\./(e)\,ADV,
163,Nabugodonozor,Nabuchodonosor,,9,nabugodonozor,101009,N,N,C/V\.C/V\.C/V\.C/V\.C/V\.'C/V\,PROPN,
164,",",",",,9,",",101009,Pnc,Pnc,,PUNCT,
165,Scipion,Scipion,,9,scipion,101009,N,N,C/V\.C/V\.'C/V\,PROPN,
166,ne,ne,ne2,8,ne,101009,Crd,Crd,C/(e)\,CCONJ,
167,Joseph,Joseph,,9,joseph,101010,N,N,C/V\.'C/V\,PROPN,
168,",",",",,9,",",101010,Pnc,Pnc,,PUNCT,
169,ne,ne,ne,8,ne,101010,Neg,Neg$$,C/(e)\,ADV,
170,sont,être,être,8,sont,101010,Vfin,Vfin,C/V\,VERB,
171,point,point,point2,8,point,101010,Neg,Neg,C/V\,ADV,
172,veez,véer,véer,3,veez,101010,Vpp,Vpp,C/(V)\.'/V\,VERB,
173,les,le,le,8,les,101010,Det,Det,C/V\,DET,
174,secrez,secret,,4,secrez,101010,N,N,C/V\.'C/V\,NOUN,
175,du,de.le,de.le,8,du,101010,Pre+Det,Pre+Det,C/V\,ADP.DET,
176,Tres,très,très,8,tres,101010,Adv,Adv,C/V\,ADV,
177,Hault,haut,haut,6,hault,101010,Adj,Adj,C/V\,ADJ,
178,aux,à.le,à.le,8,aux,101010,Pre+Det,Pre+Det,/V\,ADP.DET,
179,bien,bien,bien,9,bien,101010,Adv,Adv,C/V\,ADV,
180,simples,simple,,9,simples,101010,Adj,Adj,'C/V\.C/e\,ADJ,
181,.,.,,9,.,101010,Pnc,Pnc,,PUNCT,
182,Avis,avis,,8,avis,101011,N,N,/V\.'C/V\,NOUN,
183,m',me,me,5,m',101011,Prn,Prn$$,C/\,PRON,
184,estoit,être,être,3,estoit,101011,Vfin,Vfin,/V\.'C/V\,VERB,
185,que,que,que,9,que,101011,Sub,Sub,C/(e)\,SCONJ,
186,mon,mon,mon,7,mon,101011,Det,Det,C/V\,DET,
187,esperit,esprit,,8,esperit,101011,N,N,/V\.C/e\.'C/V\,NOUN,
188,laissoit,laisser,laisser,3,laissoit,101011,Vfin,Vfin,C/V\.'C/V\,VERB,
189,son,son,son4,7,son,101011,Det,Det,C/V\,DET,
190,corps,corps,,3,corps,101011,N,N,C/V\,NOUN,
191,",",",",,9,",",101011,Pnc,Pnc,,PUNCT,
192,et,et,et,8,et,101011,Crd,Crd,/V\,CCONJ,
193,par,par,par,8,par,101011,Pre,Pre,C/V\,ADP,
194,exemple,exemple,,8,exemple,101011,N,N,/V\.'C/V\.C/(e)\,NOUN,
195,",",",",,9,",",101011,Pnc,Pnc,,PUNCT,
196,tout,tout,tout,8,tout,101012,QIs,QIs,C/V\,ADV,
197,ainsi,ainsi,ainsi,9,ainsi,101012,Adv,Adv,/V\.'C/V\,ADV,
198,que,que,que,9,que,101012,Sub,Sub,C/(e)\,SCONJ,
199,maintes,maint,maint,4,maintes,101012,QIs,QIs,'C/V\.C/e\,DET,
200,fois,fois,,3,fois,101012,N,N,C/V\,NOUN,
201,en,en,en,8,en,101012,Pre,Pre,/V\,ADP,
202,songe,songe,,5,songe,101012,N,N,'C/V\.C/(e)\,NOUN,
203,",",",",,9,",",101012,Pnc,Pnc,,PUNCT,
204,m',me,me,5,m',101012,Prn,Prn$$,C/\,PRON,
205,a,avoir,avoir,8,a,101012,Vfin,Vfin,/V\,VERB,
206,samblé,sembler,sembler,9,samblé,101012,Vpp,Vpp,C/V\.'C/V\,VERB,
207,que,que,que,9,que,101012,Sub,Sub,C/(e)\,SCONJ,
208,mon,mon,mon,7,mon,101012,Det,Det,C/V\,DET,
209,corps,corps,,3,corps,101012,N,N,C/V\,NOUN,
210,en,en,en,8,en,101012,Pre,Pre,/V\,ADP,
211,l',le,le,9,l',101013,Det,Det,C/\,DET,
212,air,air,,3,air,101013,N,N,/V\,NOUN,
213,volast,voler,voler,9,volast,101013,Vfin,Vfin,C/V\.'C/V\,VERB,
214,;,;,,9,;,101013,Pnc,Pnc,,PUNCT,
215,m',me,me,5,m',101013,Prn,Prn$$,C/\,PRON,
216,estoit,être,être,3,estoit,101013,Vfin,Vfin,/V\.'C/V\,VERB,
217,adont,adonc,adonc,9,adont,101013,Adv,Adv,/V\.'C/V\,ADV,
218,avis,avis,,8,avis,101013,N,N,/V\.'C/V\,NOUN,
219,que,que,que,9,que,101013,Sub,Sub,C/(e)\,SCONJ,
220,par,par,par,8,par,101013,Pre,Pre,C/V\,ADP,
221,le,le,le,8,le,101013,Det,Det,C/(e)\,DET,
222,soufflement,soufflement,,8,soufflement,101013,N,N,C/V\.C/e\.'C/V\,NOUN,
223,de,de,de,8,de,101013,Pre,Pre,C/(e)\,ADP,
224,divers,divers,divers,9,divers,101013,QIs,QIs,C/V\.'C/V\,ADJ,
225,vens,vent,,3,vens,101014,N,N,C/V\,NOUN,
226,mon,mon,mon,7,mon,101014,Det,Det,C/V\,DET,
227,esperit,esprit,,8,esperit,101014,N,N,/V\.C/e\.'C/V\,NOUN,
228,translatez,translater,,9,translatez,101014,Vpp,Vpp,C/V\.C/V\.'C/V\,VERB,
229,estoit,être,être,3,estoit,101014,Vfin,Vfin,/V\.'C/V\,VERB,
230,en,en,en,8,en,101014,Pre,Pre,/V\,ADP,
231,une,un,un,9,une,101014,QIs,QIs,'/V\.C/(e)\,DET,
232,contree,contrée,,9,contree,101014,N,N,C/V\.'C/V\./(e)\,NOUN,
233,tenebreuse,ténébreux,,9,tenebreuse,101014,Adj,Adj,C/V\.C/e\.'C/V\.C/(e)\,ADJ,
234,en,en,en,8,en,101014,Pre,Pre,/V\,ADP,
235,laquelle,lequel,lequel,9,laquelle,101015,Qux,Qux,C/V\.'C/V\.C/(e)\,DET,
236,terminoit,terminer,,9,terminoit,101015,Vfin,Vfin,C/V\.C/V\.'C/V\,VERB,
237,un,un,un,8,un,101015,QIs,QIs,/V\,DET,
238,val,val,,8,val,101015,N,N,C/V\,NOUN,
239,flotant,flotter,,9,flotant,101015,Vprs,Vprs,C/V\.'C/V\,VERB,
240,sur,sur,sur,8,sur,101015,PrA,PrA,C/V\,ADP,
241,diverses,divers,divers,7,diverses,101015,QIs,QIs,C/V\.'C/V\.C/e\,DET,
242,eaues,eau,,9,eaues,101015,N,N,/<V>\.'/V\./e\,NOUN,
243,.,.,,9,.,101015,Pnc,Pnc,,PUNCT,
244,La,là,là,8,la,101015,Adv,Adv,C/V\,ADV,
245,m',me,me,5,m',101015,Prn,Prn$$,C/\,PRON,
246,apparoit,apparoir,apparaître,3,apparoit,101015,Vfin,Vfin,/V\.C/V\.'C/V\,VERB,
247,l',le,le,9,l',101016,Det,Det,C/\,DET,
248,estature,stature,,9,estature,101016,N,N,/V\.C/V\.'C/V\.C/e\,NOUN,
249,d',de,de,9,d',101016,Pre,Pre,C/\,ADP,
250,un,un,un,8,un,101016,QIs,QIs,/V\,DET,
251,homme,homme,,9,homme,101016,N,N,'/V\.C/(e)\,NOUN,
252,de,de,de,8,de,101016,Pre,Pre,C/(e)\,ADP,
253,belle,beau,beau,8,belle,101016,Adj,Adj,'C/V\.C/(e)\,ADJ,
254,forme,forme,,8,forme,101016,N,N,'C/V\.C/(e)\,NOUN,
255,mais,mais,mais,8,mais,101016,Crd,Crd,C/V\,CCONJ,
256,de,de,de,8,de,101016,Pre,Pre,C/(e)\,ADP,
257,grandeur,grandeur,,9,grandeur,101016,N,N,C/V\.'C/V\,NOUN,
258,inextimable,inestimable,,9,inextimable,101016,Adj,Adj,/V\.C/V\.C/V\.'C/V\.C/(e)\,ADJ,
259,",",",",,9,",",101016,Pnc,Pnc,,PUNCT,
260,car,car,car,8,car,101017,Crd,Crd,C/V\,CCONJ,
261,sa,son,son4,7,sa,101017,Det,Det,C/V\,DET,
262,teste,tête,,3,teste,101017,N,N,'C/V\.C/(e)\,NOUN,
263,tresperçoit,trespercer,,9,tresperçoit,101017,Vfin,Vfin,C/V\.C/V\.'C/V\,VERB,
264,les,le,le,8,les,101017,Det,Det,C/V\,DET,
265,nues,nue,,8,nues,101017,N,N,'C/V\./e\,NOUN,
266,",",",",,9,",",101017,Pnc,Pnc,,PUNCT,
267,ses,son,son4,7,ses,101017,Det,Det,C/V\,DET,
268,piez,pied,,3,piez,101017,N,N,C/V\,NOUN,
269,marchoient,marcher,,9,marchoient,101017,Vfin,Vfin,C/V\.'C/V\./e\,VERB,
270,les,le,le,8,les,101017,Det,Det,C/V\,DET,
271,abismes,abîme,,8,abismes,101017,N,N,/V\.'C/V\.C/e\,NOUN,
272,et,et,et,8,et,101017,Crd,Crd,/V\,CCONJ,
273,son,son,son4,7,son,101018,Det,Det,C/V\,DET,
274,ventre,ventre,,8,ventre,101018,N,N,'C/V\.C/(e)\,NOUN,
275,avironnoit,avironner,,9,avironnoit,101018,Vfin,Vfin,/V\.C/V\.C/V\.'C/V\,VERB,
276,toute,tout,tout,7,toute,101018,QIs,QIs,'C/V\.C/(e)\,DET,
277,la,le,le,8,la,101018,Det,Det,C/V\,DET,
278,terre,terre,,8,terre,101018,N,N,'C/V\.C/(e)\,NOUN,
279,.,.,,9,.,101018,Pnc,Pnc,,PUNCT,
280,Clere,clair,clair,8,clere,101018,Adj,Adj,'C/V\.C/(e)\,ADJ,
281,face,face,,3,face,101018,N,N,'C/V\.C/(e)\,NOUN,
282,et,et,et,8,et,101018,Crd,Crd,/V\,CCONJ,
283,sanguine,sanguine,,5,sanguine,101018,Adj,Adj,C/V\.'C/V\.C/(e)\,NOUN,
284,avoit,avoir,avoir,9,avoit,101018,Vfin,Vfin,/V\.'C/V\,VERB,
285,;,;,,9,;,101018,Pnc,Pnc,,PUNCT,
286,aux,à.le,à.le,8,aux,101019,Pre+Det,Pre+Det,/V\,ADP.DET,
287,crins,crin,,3,crins,101019,N,N,C/V\,NOUN,
288,de,de,de,8,de,101019,Pre,Pre,C/(e)\,ADP,
289,son,son,son4,7,son,101019,Det,Det,C/V\,DET,
290,chief,chef,,9,chief,101019,N,N,C/V\,NOUN,
291,donnoient,donner,donner,9,donnoient,101019,Vfin,Vfin,C/V\.'C/V\./e\,VERB,
292,aournement,aornement,,3,aournement,101019,N,N,/V\.C/V\.C/e\.'C/V\,NOUN,
293,innombrables,innombrable,,9,innombrables,101019,Adj,Adj,/V\.C/V\.'C/V\.C/e\,ADJ,
294,estoilles,étoile,,9,estoilles,101020,N,N,/V\.'C/V\.C/e\,NOUN,
295,.,.,,9,.,101020,Pnc,Pnc,,PUNCT,
296,De,de,de,8,de,101020,Pre,Pre,C/(e)\,ADP,
297,la,le,le,8,la,101020,Det,Det,C/V\,DET,
298,beauté,beauté,,9,beauté,101020,N,N,C/V\.'C/V\,NOUN,
299,de,de,de,8,de,101020,Pre,Pre,C/(e)\,ADP,
300,ses,son,son4,7,ses,101020,Det,Det,C/V\,DET,
301,yeulx,oeil,,9,yeulx,101020,N,N,C/V\,NOUN,
302,yssoit,issir,issir,9,yssoit,101020,Vfin,Vfin,/V\.'C/V\,VERB,
303,si,si,si4,8,si,101020,Adv,Adv,C/V\,ADV,
304,grant,grand,grand,9,grant,101020,Adj,Adj,C/V\,ADJ,
305,clarté,clarté,,9,clarté,101020,N,N,C/V\.'C/V\,NOUN,
306,que,que,que,9,que,101020,Sub,Sub,C/(e)\,SCONJ,
307,tout,tout,tout,8,tout,101020,QIs,QIs,C/V\,PRON,
308,l',le,le,2,l',101021,Prn,Prn$$,C/\,PRON,
309,enluminoit,enluminer,,9,enluminoit,101021,Vfin,Vfin,/V\.C/V\.C/V\.'C/V\,VERB,
310,et,et,et,8,et,101021,Crd,Crd,/V\,CCONJ,
311,jusques,jusque,jusque,9,jusques,101021,PrA,PrA,'C/V\.C/e\,ADP,
312,aux,à.le,à.le,8,aux,101021,Pre+Det,Pre+Det,/V\,ADP.DET,
313,entrailles,entrailles,,9,entrailles,101021,N,N,/V\.'C/V\.C/e\,NOUN,
314,de,de,de,8,de,101021,Pre,Pre,C/(e)\,ADP,
315,son,son,son4,7,son,101021,Det,Det,C/V\,DET,
316,corps,corps,,3,corps,101021,N,N,C/V\,NOUN,
317,reverberoit,réverbérer,,6,reverberoit,101021,Vfin,Vfin,C/V\.C/V\.C/e\.'C/V\,VERB,
318,leur,leur,leur2,8,leur,101021,Det,Det,C/V\,DET,
319,clarté,clarté,,9,clarté,101022,N,N,C/V\.'C/V\,NOUN,
320,.,.,,9,.,101022,Pnc,Pnc,,PUNCT,
321,L',le,le,9,l',101022,Det,Det,C/\,DET,
322,aspiracion,aspiration,,9,aspiracion,101022,N,N,/V\.C/V\.C/V\.C/{V}\.'/V\,NOUN,
323,de,de,de,8,de,101022,Pre,Pre,C/(e)\,ADP,
324,sa,son,son4,7,sa,101022,Det,Det,C/V\,DET,
325,tres,très,très,8,tres,101022,Adv,Adv,C/V\,ADV,
326,grant,grand,grand,9,grant,101022,Adj,Adj,C/V\,ADJ,
327,gueule,gueule,,9,gueule,101022,N,N,'C/V\.C/(e)\,NOUN,
328,atraioit,attraire,attraire,9,atraioit,101022,Vfin,Vfin,/V\.C/V\.'C/V\,VERB,
329,si,si,si4,8,si,101022,Adv,Adv,C/V\,ADV,
330,grant,grand,grand,9,grant,101022,Adj,Adj,C/V\,ADJ,
331,hair,air,,-10,háir,101022,N,N,/V\,NOUN,
332,et,et,et,8,et,101022,Crd,Crd,/V\,CCONJ,
333,vent,vent,,3,vent,101023,N,N,C/V\,VERB,
334,que,que,que,9,que,101023,Sub,Sub,C/(e)\,SCONJ,
335,tout,tout,tout,8,tout,101023,QIs,QIs,C/V\,PRON,
336,en,en,en2,8,en,101023,Prn,Prn$$,/V\,PRON,
337,estoit,être,être,3,estoit,101023,Vfin,Vfin,/V\.'C/V\,VERB,
338,remplis,remplir,remplir,8,remplis,101023,Vpp,Vpp,C/V\.'C/V\,VERB,
339,de,de,de,8,de,101023,Pre,Pre,C/(e)\,ADP,
340,convenable,convenable,,9,convenable,101023,Adj,Adj,C/V\.C/e\.'C/V\.C/(e)\,ADJ,
341,frescheur,fraîcheur,,6,frescheur,101023,N,N,C/V\.'C/V\,NOUN,
342,.,.,,9,.,101023,Pnc,Pnc,,PUNCT,
343,·II·,deux,deux,9,·ii·,101023,QIs,QIs,C/V\,NUM,
344,conduis,conduit,,8,conduis,101024,N,N,C/V\.'C/V\,NOUN,
345,principaux,principal,,9,principaux,101024,Adj,Adj,C/V\.C/V\.'C/V\,ADJ,
