wd_id,line_id,linewd,word,lemma,lemma_gold,lemma_score,lex_id,textlineid,syntag,syntag2,syllabified,pos
43,8,5,credit,,crédit,2,credit,32,N,N,C/V\.'C/V\,NOUN
44,8,6,;,,;,9,;,32,Pnc,Pnc,,PUNCT
45,9,1,ninive,,Ninive,2,ninive,33,N,N,C/V\.'C/V\.C/(e)\,PROPN
46,9,2,bruit,,bruir,8,bruit,33,Vfin,Vfin,C/V\,VERB
47,9,3,par,par,par,8,par,33,Pre,Pre,C/V\,ADP
48,9,4,exellence,,excellence,6,exellence,33,N,N,/V\.C/V\.'C/V\.C/(e)\,NOUN
49,9,5,.,,.,9,.,33,Pnc,Pnc,,PUNCT
50,10,1,nul,nul,nul,4,nul,34,QIs,QIs,C/V\,PRON
51,10,2,n',ne,ne,8,n',34,Neg,Neg$$,C/\,ADV
52,10,3,est,être,être,3,est,34,Vfin,Vfin,/V\,VERB
53,10,4,contre,contre3,contre,8,contre,34,PrA,PrA,'C/V\.C/(e)\,ADP
54,10,5,nostre,notre,notre,7,nostre,34,Det,Det,'C/V\.C/(e)\,DET
55,10,6,intendit,,intendit,9,intendit,34,N,N,/V\.C/V\.'C/V\,NOUN
56,10,7,.,,.,9,.,34,Pnc,Pnc,,PUNCT
57,11,1,avant,avant,avant,8,avant,35,PrA,PrA,/V\.'C/V\,ADV
58,11,2,",",,",",9,",",35,Pnc,Pnc,,PUNCT
59,11,3,seigneurs,,seigneur,9,seigneurs,35,N,N,C/V\.'C/V\,NOUN
60,11,4,!,,!,9,!,35,Pnc,Pnc,,PUNCT
61,11,5,qu',que,que,9,qu',35,Qux,Qux,C/\,PRON
62,11,6,esse,être,être.ce,3,esse,35,Vfin+Prn,Vfin+Prn,'/V\.C/(e)\,VERB.PRON
63,11,7,qu',que,que,4,qu',35,Qux,Qux,C/\,PRON
64,11,8,on,on,on,8,on,35,Prn,Prn$,/V\,PRON
65,11,9,dit,dire,dire,8,dit,35,Vfin,Vfin,C/V\,VERB
66,11,10,?,,?,9,?,35,Pnc,Pnc,,PUNCT
67,12,1,ne,ne,ne,8,ne,36,Neg,Neg$$,C/(e)\,ADV
68,12,2,fait,faire,faire,8,fait,36,Vfin,Vfin,C/V\,VERB
69,12,3,pas,pas,pas,8,pas,36,Neg,Neg,C/V\,ADV
70,12,4,tout,tout,tout,7,tout,36,QIs,QIs,C/V\,DET
71,12,5,obeissance,,obéissance,9,obeissance,36,N,N,/V\.C/(V)\./V\.'C/V\.C/(e)\,NOUN
72,12,6,?,,?,9,?,36,Pnc,Pnc,,PUNCT
73,13,1,ung,un,un,9,ung,37,QIs,QIs,/V\,DET
74,13,2,chacun,chacun,chacun,9,chacun,37,QIs,QIs,C/V\.'C/V\,PRON
75,13,3,craint,craindre,craindre,9,craint,37,Vfin,Vfin,C/V\,VERB
76,13,4,vostre,votre,votre,4,vostre,37,Det,Det,'C/V\.C/(e)\,DET
77,13,5,puissance,,puissance,9,puissance,37,N,N,C/V\.'C/V\.C/(e)\,NOUN
78,13,6,",",,",",9,",",37,Pnc,Pnc,,PUNCT
79,14,1,noble,noble,noble,8,noble,38,Adj,Adj,'C/V\.C/(e)\,ADJ
80,14,2,roy,,roi,9,roy,38,N,N,C/V\,NOUN
81,14,3,de,de,de,8,de,38,Pre,Pre,C/(e)\,ADP
82,14,4,nom,,nom,8,nom,38,N,N,C/V\,NOUN
83,14,5,immortel,,immortel,9,immortel,38,Adj,Adj,/V\.C/V\.'C/V\,ADJ
84,14,6,.,,.,9,.,38,Pnc,Pnc,,PUNCT
85,15,1,tout,tout,tout,7,tout,39,QIs,QIs,C/V\,DET
86,15,2,pouoir,pouvoir,pouvoir,8,pouoir,39,N,N,C/V\.'C/V\,NOUN
87,15,3,gist,gésir,gésir,3,gist,39,Vfin,Vfin,C/V\,VERB
88,15,4,en,en,en,8,en,39,Pre,Pre,/V\,ADP
89,15,5,impuissance,,impuissance,9,impuissance,39,N,N,/V\.C/V\.'C/V\.C/(e)\,NOUN
90,16,1,envers,envers,envers,8,envers,40,PrA,PrA,/V\.'C/V\,ADP
91,16,2,vous,vous,vous,8,vous,40,Prn,Prn,C/V\,PRON
92,16,3,par,par,par,8,par,40,Pre,Pre,C/V\,ADP
93,16,4,vostre,votre,votre,4,vostre,40,Det,Det,'C/V\.C/(e)\,DET
94,16,5,mors,,mors,3,mors,40,N,N,C/V\,NOUN
95,16,6,tel,tel,tel,9,tel,40,Adj,Adj,C/V\,ADJ
96,16,7,.,,.,9,.,40,Pnc,Pnc,,PUNCT
97,17,1,point,point2,point,8,point,41,Neg,Neg,C/V\,ADV
98,17,2,ne,ne,ne,8,ne,41,Neg,Neg$$,C/(e)\,ADV
99,17,3,croy,croire,croire,9,croy,41,Vfin,Vfin,C/V\,VERB
100,17,4,que,que,que,4,que,41,Sub,Sub,C/(e)\,SCONJ
101,17,5,soyez,être,être,9,soyez,41,Vfin,Vfin,C/V\.'C/V\,VERB
102,17,6,mortel,,mortel,8,mortel,41,Adj,Adj,C/V\.'C/V\,ADJ
103,17,7,",",,",",9,",",41,Pnc,Pnc,,PUNCT
104,18,1,mais,mais,mais,8,mais,42,Crd,Crd,C/V\,CCONJ
105,18,2,ung,un,un,9,ung,42,QIs,QIs,/V\,DET
106,18,3,dieu,,dieu,8,dieu,42,N,N,C/V\,NOUN
107,18,4,en,en,en,8,en,42,Pre,Pre,/V\,ADP
108,18,5,terre,,terre,8,terre,42,N,N,'C/V\.C/(e)\,NOUN
109,18,6,trasmis,,tramettre,0,trasmis,42,Vpp,Vpp,C/V\.'C/V\,VERB
110,18,7,.,,.,9,.,42,Pnc,Pnc,,PUNCT
111,19,1,holofernés,,Holopherne,-10,holofernés,43,N,N,C/V\.C/V\.C/V\.'C/V\,PROPN
112,19,2,",",,",",9,",",43,Pnc,Pnc,,PUNCT
113,19,3,en,en,en,8,en,43,Pre,Pre,/V\,ADP
114,19,4,nostre,notre,notre,7,nostre,43,Det,Det,'C/V\.C/(e)\,DET
115,19,5,hostel,,hôtel,9,hostel,43,N,N,/V\.'C/V\,NOUN
116,20,1,sur,sur,sur,8,sur,44,PrA,PrA,C/V\,ADP
117,20,2,tous,tout,tous,8,tous,44,QIs,QIs,C/V\,DET
118,20,3,estez,être,être,5,estez,44,Vfin,Vfin,/V\.'C/V\,VERB
119,20,4,de,de,de,8,de,44,Pre,Pre,C/(e)\,ADP
120,20,5,noz,nous,nous,7,noz,44,Prn,Prn,C/V\,PRON
121,20,6,amis,,ami,3,amis,44,N,N,/V\.'C/V\,NOUN
122,20,7,.,,.,9,.,44,Pnc,Pnc,,PUNCT
123,21,1,du,de.le,de.le,8,du,45,Pre+Det,Pre+Det,C/V\,ADP.DET
124,21,2,tout,tout,tout,8,tout,45,QIs,QIs,C/V\,PRON
125,21,3,le,le,le,8,le,45,Det,Det,C/(e)\,DET
126,21,4,royaulme,,royaume,9,royaulme,45,N,N,C/V\.'C/V\.C/(e)\,NOUN
127,21,5,avez,avoir,avoir,8,avez,45,Vfin,Vfin,/V\.'C/V\,VERB
128,21,6,mis,mettre,mettre,3,mis,45,Vpp,Vpp,C/V\,VERB
129,22,1,de,de,de,8,de,46,Pre,Pre,C/(e)\,ADP
130,22,2,medee,,Medée,2,medee,46,N,N,C/V\.'C/V\./(e)\,PROPN
131,22,3,soubz,sous,sous,8,soubz,46,PrA,PrA,C/V\,ADP
132,22,4,vostre,votre,votre,4,vostre,46,Det,Det,'C/V\.C/(e)\,DET
133,22,5,main,,main,8,main,46,N,N,C/V\,NOUN
134,22,6,.,,.,9,.,46,Pnc,Pnc,,PUNCT
135,23,1,plus,plus,plus,8,plus,47,Adv,Adv,C/V\,ADV
136,23,2,ne,ne,ne,8,ne,47,Neg,Neg$$,C/(e)\,ADV
137,23,3,congnois,connaître,connaître,9,congnois,47,Vfin,Vfin,C/V\.'C/V\,VERB
138,23,4,nulz,nul,nul,3,nulz,47,QIs,QIs,C/V\,DET
139,23,5,ennemis,,ennemi,9,ennemis,47,N,N,/V\.C/e\.'C/V\,NOUN
140,23,6,;,,;,9,;,47,Pnc,Pnc,,PUNCT
141,24,1,tout,tout,tout,7,tout,48,QIs,QIs,C/V\,DET
142,24,2,orient,,orient,9,orient,48,N,N,/V\.C/V\.'C/V\,NOUN
143,24,3,vous,vous,vous,8,vous,48,Prn,Prn$$,C/V\,PRON
144,24,4,est,être,être,3,est,48,Vfin,Vfin,/V\,VERB
145,24,5,humain,,humain,9,humain,48,Adj,Adj,/V\.'C/(e)\,ADJ
146,24,6,.,,.,9,.,48,Pnc,Pnc,,PUNCT
147,25,1,parfois,parfois,parfois,6,parfois,49,Adv,Adv,C/V\.'C/V\,ADV
148,25,2,soy,être,être,8,soy,49,Vfin,Vfin,C/V\,VERB
149,25,3,monstrer,montrer,montrer,9,monstrer,49,Vinf,Vinf,C/V\.'C/V\,VERB
150,25,4,inhumain,,inhumain,4,inhumain,49,Adj,Adj,/V\.C/V\.'C/V\,NOUN
151,26,1,aux,à.le,à.le,8,aux,50,Pre+Det,Pre+Det,/V\,ADP.DET
152,26,2,rebelles,,rebelle,3,rebelles,50,N,N,C/V\.'C/V\.C/e\,NOUN
153,26,3,",",,",",9,",",50,Pnc,Pnc,,PUNCT
154,26,4,c',ce,ce,8,c',50,Prn,Prn,C/\,PRON
155,26,5,est,être,être,3,est,50,Vfin,Vfin,/V\,VERB
156,26,6,grant,grand,grand,9,grant,50,Adj,Adj,C/V\,ADJ
157,26,7,conduyt,,conduit,6,conduyt,50,N,N,C/V\.'C/V\,NOUN
158,26,8,.,,.,9,.,50,Pnc,Pnc,,PUNCT
159,27,1,nous,nous,nous,8,nous,51,Prn,Prn$,C/V\,PRON
160,27,2,congnoissons,connaître,connaître,9,congnoissons,51,Vfin,Vfin,C/V\.C/V\.'C/V\,VERB
161,27,3,que,que,que,9,que,51,Sub,Sub,C/(e)\,SCONJ
162,27,4,soir,,soir,3,soir,51,N,N,C/V\,NOUN
163,27,5,et,et,et,8,et,51,Crd,Crd,/V\,CCONJ
164,27,6,main,,main,8,main,51,N,N,C/V\,NOUN
165,27,7,",",,",",9,",",51,Pnc,Pnc,,PUNCT
166,28,1,seneschal,,sénéchal,9,seneschal,52,N,N,C/V\.C/e\.'C/V\,NOUN
167,28,2,",",,",",9,",",52,Pnc,Pnc,,PUNCT
168,28,3,nous,nous,nous,8,nous,52,Prn,Prn$,C/V\,PRON
169,28,4,estes,être,être,3,estes,52,Vfin,Vfin,'/V\.C/e\,VERB
170,28,5,bien,bien,bien,9,bien,52,Adv,Adv,C/V\,ADV
171,28,6,duit,duire,duire,3,duit,52,Vpp,Vpp,C/V\,VERB
172,28,7,.,,.,9,.,52,Pnc,Pnc,,PUNCT
173,29,1,ninive,,Ninive,2,ninive,53,N,N,C/V\.'C/V\.C/(e)\,PROPN
174,29,2,",",,",",9,",",53,Pnc,Pnc,,PUNCT
175,29,3,ceste,cist,cist,3,ceste,53,Dem,Dem,'C/V\.C/(e)\,DET
176,29,4,cité,,cité,8,cité,53,N,N,C/V\.'C/V\,NOUN
177,29,5,",",,",",9,",",53,Pnc,Pnc,,PUNCT
178,29,6,bruit,,bruir,5,bruit,53,Vfin,Vfin,C/V\,VERB
179,30,1,dessous,dessous,dessous,9,dessous,54,PrA,PrA,C/e\.'C/V\,ADP
180,30,2,vous,vous,vous,8,vous,54,Prn,Prn,C/V\,PRON
181,30,3,glorieusement,,glorieusement,9,glorieusement,54,N,N,C/V\.C/{V}\./V\.C/e\.'C/V\,ADV
182,30,4,.,,.,9,.,54,Pnc,Pnc,,PUNCT
183,31,1,tout,tout,tout,7,tout,55,QIs,QIs,C/V\,DET
184,31,2,vostre,votre,votre,4,vostre,55,Det,Det,'C/V\.C/(e)\,DET
185,31,3,royaulme,,royaume,9,royaulme,55,N,N,C/V\.'C/V\.C/(e)\,NOUN
186,31,4,reluit,reluire,reluire,9,reluit,55,Vfin,Vfin,C/V\.'C/V\,VERB
187,32,1,en,en,en,8,en,56,Pre,Pre,/V\,ADP
188,32,2,paix,,paix,8,paix,56,N,N,C/V\,NOUN
189,32,3,moult,moult,moult,8,moult,56,QIs,QIs,C/V\,ADV
190,32,4,magnifiquement,,magnifiquement,9,magnifiquement,56,Adv,Adv,C/V\.C/V\.C/V\.C/e\.'C/V\,ADV
191,32,5,.,,.,9,.,56,Pnc,Pnc,,PUNCT
192,33,1,assiriens,,assyrien,4,assiriens,57,N,N,/V\.C/V\.C/{V}\.'/V\,NOUN
193,33,2,totallement,,totalement,9,totallement,57,Adv,Adv,C/V\.C/V\.C/e\.'C/V\,ADV
194,34,1,vous,vous,vous,8,vous,58,Prn,Prn$$,C/V\,PRON
195,34,2,tiennent,tenir,tenir,9,tiennent,58,Vfin,Vfin,'C/V\.C/e\,VERB
196,34,3,comme,comme,comme,9,comme,58,Sub,Sub,'C/V\.C/(e)\,SCONJ
197,34,4,dieu,,dieu,8,dieu,58,N,N,C/V\,NOUN
198,34,5,sur,sur,sur,8,sur,58,PrA,PrA,C/V\,ADP
199,34,6,terre,,terre,8,terre,58,N,N,'C/V\.C/(e)\,NOUN
200,34,7,.,,.,9,.,58,Pnc,Pnc,,PUNCT
201,35,1,grans,grand,grand,9,grans,59,Adj,Adj,C/V\,ADJ
202,35,2,",",,",",9,",",59,Pnc,Pnc,,PUNCT
203,35,3,petis,petit,petit,9,petis,59,Adj,Adj,C/e\.'C/V\,ADJ
204,35,4,",",,",",9,",",59,Pnc,Pnc,,PUNCT
205,35,5,tous,tout,tout,8,tous,59,QIs,QIs,C/V\,DET
206,35,6,assemblement,,assemblement,8,assemblement,59,N,N,/V\.C/V\.C/e\.'C/V\,NOUN
207,36,1,font,faire,faire,3,font,60,Vfin,Vfin,C/V\,VERB
208,36,2,de,de,de,8,de,60,Pre,Pre,C/(e)\,ADP
209,36,3,vous,vous,vous,8,vous,60,Prn,Prn,C/V\,PRON
210,36,4,leur,leur2,leur,8,leur,60,Det,Det,C/V\,DET
211,36,5,dieu,,dieu,8,dieu,60,N,N,C/V\,NOUN
212,36,6,.,,.,9,.,60,Pnc,Pnc,,PUNCT
213,36,7,|,,|,-10,|,60,Pnc,Pnc,,PUNCT
214,36,8,fault,faillir,falloir,3,fault,60,Vfin,Vfin,C/V\,VERB
215,36,9,enquerre,enquérir,enquérir,9,enquerre,60,Vinf,Vinf,/V\.'C/V\.C/(e)\,VERB
216,36,10,",",,",",9,",",60,Pnc,Pnc,,PUNCT
217,37,1,pour,pour,pour,9,pour,61,Pre,Pre,C/V\,ADP
218,37,2,tenir,tenir,tenir,9,tenir,61,Vinf,Vinf,C/V\.'C/V\,VERB
219,37,3,noz,notre,notre,7,noz,61,Det,Det,C/V\,DET
220,37,4,gendarmes,,gendarme,9,gendarmes,61,N,N,C/V\.'C/V\.C/e\,NOUN
221,37,5,serre,,serre,8,serre,61,N,N,'C/V\.C/(e)\,NOUN
222,37,6,",",,",",9,",",61,Pnc,Pnc,,PUNCT
223,38,1,se,si3,si,3,se,62,Sub,Sub,C/(e)\,SCONJ
224,38,2,les,le,le,8,les,62,Det,Det,C/V\,DET
225,38,3,royaulmes,,royaume,9,royaulmes,62,N,N,C/V\.'C/V\.C/e\,NOUN
226,38,4,de,de,de,8,de,62,Pre,Pre,C/(e)\,ADP
227,38,5,medee,,Medée,2,medee,62,N,N,C/V\.'C/V\./(e)\,PROPN
228,38,6,",",,",",9,",",62,Pnc,Pnc,,PUNCT
229,39,1,d',de,de,9,d',63,Pre,Pre,C/\,ADP
230,39,2,israel,,Israël,6,israel,63,N,N,/V\.C/V\.'C/V\,PROPN
231,39,3,et,et,et,8,et,63,Crd,Crd,/V\,CCONJ
232,39,4,toute,tout,tout,7,toute,63,QIs,QIs,'C/V\.C/(e)\,DET
233,39,5,judee,,Judée,0,judee,63,N,N,C/V\.'C/V\./(e)\,PROPN
234,40,1,ont,avoir,avoir,9,ont,64,Vfin,Vfin,/V\,VERB
235,40,2,acomply,,accomplir,9,acomply,64,Vpp,Vpp,/V\.C/V\.'C/V\,VERB
236,40,3,noz,notre,notre,7,noz,64,Det,Det,C/V\,DET
237,40,4,mandemens,,mandement,9,mandemens,64,N,N,C/V\.C/e\.'C/V\,NOUN
238,40,5,.,,.,9,.,64,Pnc,Pnc,,PUNCT
239,41,1,cher,cher,cher,8,cher,65,Adj,Adj,C/V\,ADJ
240,41,2,seigneur,,seigneur,8,seigneur,65,N,N,C/V\.'C/V\,NOUN
241,41,3,",",,",",9,",",65,Pnc,Pnc,,PUNCT
242,41,4,voz,votre,votre,7,voz,65,Det,Det,C/V\,DET
243,41,5,commandemens,,commandement,9,commandemens,65,N,N,C/V\.C/V\.C/e\.'C/V\,NOUN
244,42,1,desprisent,,dépriser,9,desprisent,66,Vfin,Vfin,C/V\.'C/V\.C/e\,VERB
245,42,2,",",,",",9,",",66,Pnc,Pnc,,PUNCT
246,42,3,bref,,bref,9,bref,66,Adj,Adj,C/V\,NOUN
247,42,4,",",,",",9,",",66,Pnc,Pnc,,PUNCT
248,42,5,du,de.le,de.le,8,du,66,Pre+Det,Pre+Det,C/V\,ADP.DET
249,42,6,tout,tout,tout,8,tout,66,QIs,QIs,C/V\,PRON
250,42,7,en,en,en,8,en,66,Pre,Pre,/V\,ADP
251,42,8,tout,tout,tout,8,tout,66,QIs,QIs,C/V\,PRON
252,42,9,.,,.,9,.,66,Pnc,Pnc,,PUNCT
253,43,1,comment,comment,comment,8,comment,67,Qux,Qux,C/V\.'C/V\,ADV
254,43,2,cecy,ceci,ceci,9,cecy,67,Prn,Prn,C/V\.'C/V\,PRON
255,43,3,?,,?,9,?,67,Pnc,Pnc,,PUNCT
256,43,4,|,,|,0,|,67,Pnc,Pnc,,PUNCT
257,43,5,de,de,de,8,de,67,Pre,Pre,C/(e)\,ADP
258,43,6,bout,,bout,8,bout,67,N,N,C/V\,NOUN
259,43,7,en,en,en,8,en,67,Pre,Pre,/V\,ADP
260,43,8,bout,,bout,8,bout,67,N,N,C/V\,NOUN
261,43,9,",",,",",9,",",67,Pnc,Pnc,,PUNCT
262,44,1,en,en,en,8,en,68,Pre,Pre,/V\,ADP
263,44,2,lieux,,lieu,3,lieux,68,N,N,C/V\,NOUN
264,44,3,ay,avoir,avoir,8,ay,68,Vfin,Vfin,/V\,VERB
265,44,4,esté,être,être,3,esté,68,Vpp,Vpp,/V\.'C/V\,VERB
266,44,5,plus,plus,plus,8,plus,68,Adv,Adv,C/V\,ADV
267,44,6,de,de,de,8,de,68,Pre,Pre,C/(e)\,ADP
268,44,7,mille,mille,mille,8,mille,68,QIs,QIs,'C/V\.C/(e)\,NUM
269,44,8,",",,",",9,",",68,Pnc,Pnc,,PUNCT
270,45,1,par,par,par,8,par,69,Pre,Pre,C/V\,ADP
271,45,2,les,le,le,8,les,69,Det,Det,C/V\,DET
272,45,3,royaulmes,,royaume,9,royaulmes,69,N,N,C/V\.'C/V\.C/e\,NOUN
273,45,4,de,de,de,8,de,69,Pre,Pre,C/(e)\,ADP
274,45,5,cecille,,Cécile,2,cecille,69,N,N,C/V\.'C/V\.C/(e)\,PROPN
275,45,6,",",,",",9,",",69,Pnc,Pnc,,PUNCT
276,46,1,de,de,de,8,de,70,Pre,Pre,C/(e)\,ADP
277,46,2,damascz,,Damas,0,damascz,70,N,N,C/V\.'C/V\,PROPN
278,46,3,",",,",",9,",",70,Pnc,Pnc,,PUNCT
279,46,4,libane,,Liban,-10,libane,70,N,N,C/V\.'C/V\.C/(e)\,PROPN
280,46,5,",",,",",9,",",70,Pnc,Pnc,,PUNCT
281,46,6,esdrelon,,Esdrelon,-10,esdrelon,70,N,N,/V\.C/e\.'C/V\,PROPN
282,46,7,",",,",",9,",",70,Pnc,Pnc,,PUNCT
283,47,1,tout,tout,tout,8,tout,71,QIs,QIs,C/V\,ADV
284,47,2,au,à.le,à.le,8,au,71,Pre+Det,Pre+Det,/V\,ADP.DET
285,47,3,long,long,long,8,long,71,Adj,Adj,C/V\,NOUN
286,47,4,du,de.le,de.le,8,du,71,Pre+Det,Pre+Det,C/V\,ADP.DET
287,47,5,mont,,monde,3,mont,71,N,N,C/V\,NOUN
288,47,6,de,de,de,8,de,71,Pre,Pre,C/(e)\,ADP
289,47,7,syon,,Sion,3,syon,71,N,N,C/V\.'C/V\,PROPN
290,47,8,",",,",",9,",",71,Pnc,Pnc,,PUNCT
291,48,1,de,de,de,8,de,72,Pre,Pre,C/(e)\,ADP
292,48,2,carmely,,Carmeli,-10,carmely,72,N,N,C/V\.C/e\.'C/V\,PROPN
293,48,3,",",,",",9,",",72,Pnc,Pnc,,PUNCT
294,48,4,de,de,de,8,de,72,Pre,Pre,C/(e)\,ADP
295,48,5,galilee,,Galilée,2,galilee,72,N,N,C/V\.C/V\.'C/V\./(e)\,PROPN
296,48,6,",",,",",9,",",72,Pnc,Pnc,,PUNCT
297,49,1,et,et,et,8,et,73,Crd,Crd,/V\,CCONJ
298,49,2,tout,tout,tout,7,tout,73,QIs,QIs,C/V\,DET
299,49,3,le,le,le,8,le,73,Det,Det,C/(e)\,DET
300,49,4,pays,,pays,9,pays,73,N,N,C/V\.'C/V\,NOUN
301,49,5,de,de,de,8,de,73,Pre,Pre,C/(e)\,ADP
302,49,6,judee,,Judée,-10,judee,73,N,N,C/V\.'C/V\./(e)\,PROPN
303,49,7,",",,",",9,",",73,Pnc,Pnc,,PUNCT
304,50,1,de,de,de,8,de,74,Pre,Pre,C/(e)\,ADP
305,50,2,jherusalem,,Jérusalem,6,jherusalem,74,N,N,C/V\.C/V\.C/V\.'C/V\,PROPN
306,50,3,",",,",",9,",",74,Pnc,Pnc,,PUNCT
307,50,4,samarie,,Samarie,2,samarie,74,N,N,C/V\.C/V\.'C/V\./(e)\,PROPN
308,50,5,",",,",",9,",",74,Pnc,Pnc,,PUNCT
309,51,1,et,et,et,8,et,75,Crd,Crd,/V\,CCONJ
310,51,2,",",,",",9,",",75,Pnc,Pnc,,PUNCT
311,51,3,afin,afin,afin,8,afin,75,Adv,Adv,/V\.'C/V\,ADV
312,51,4,que,que,que,9,que,75,Sub,Sub,C/(e)\,SCONJ
313,51,5,je,je,je,9,je,75,Prn,Prn$,C/(e)\,PRON
314,51,6,ne,ne,ne,8,ne,75,Neg,Neg$$,C/(e)\,ADV
315,51,7,l',le,le,2,l',75,Prn,Prn$$,C/\,PRON
316,51,8,oublie,,oublier,8,oublie,75,Vfin,Vfin,/V\.'C/V\./(e)\,VERB
317,51,9,",",,",",9,",",75,Pnc,Pnc,,PUNCT
318,52,1,oultre,outre2,outre,8,oultre,76,PrA,PrA,'/V\.C/(e)\,ADV
319,52,2,le,le,le,8,le,76,Det,Det,C/(e)\,DET
320,52,3,fleuve,,fleuve,8,fleuve,76,N,N,'C/V\.C/(e)\,NOUN
321,52,4,de,de,de,8,de,76,Pre,Pre,C/(e)\,ADP
322,52,5,jourdain,,Jourdain,5,jourdain,76,N,N,C/V\.'C/V\,PROPN
323,52,6,",",,",",9,",",76,Pnc,Pnc,,PUNCT
324,53,1,qui,qui,qui,3,qui,77,Qux,Qux,C/V\,PRON
325,53,2,vous,vous,vous,8,vous,77,Prn,Prn$$,C/V\,PRON
326,53,3,ont,avoir,avoir,9,ont,77,Vfin,Vfin,/V\,VERB
327,53,4,du,de.le,de.le,8,du,77,Pre+Det,Pre+Det,C/V\,ADP.DET
328,53,5,tout,tout,tout,8,tout,77,QIs,QIs,C/V\,PRON
329,53,6,en,en,en,8,en,77,Pre,Pre,/V\,ADP
330,53,7,desdain,,dédain,9,desdain,77,N,N,C/V\.'C/V\,NOUN
331,53,8,",",,",",9,",",77,Pnc,Pnc,,PUNCT
332,54,1,et,et,et,8,et,78,Crd,Crd,/V\,CCONJ
333,54,2,m',me,me,5,m',78,Prn,Prn$$,C/\,PRON
334,54,3,ont,avoir,avoir,9,ont,78,Vfin,Vfin,/V\,VERB
335,54,4,vistement,,vitement,9,vistement,78,Adv,Adv,C/V\.C/e\.'C/V\,ADV
336,54,5,bien,bien,bien,9,bien,78,Adv,Adv,C/V\,ADV
