wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,syllabified,lemma
28,4,7,ne,ne,PRO:clit,4,Neg,Neg$$,C/(e)\,ne
29,4,8,puis,puis,VER:pres:1:sg,4,Vfin,Vfin,C/V\,pouvoir
30,5,1,les,les,DET:def:obj:masc:pl,5,Det,Det,C/V\,le
31,5,2,plus,plus,ADV,5,Adv,Adv,C/V\,plus
32,5,3,plaisans,plaisans,VER:ppre:pl,5,Vprs,Vprs,C/V\.'C/V\,plaire
33,5,4,chosir,chosir,VER:infi,5,Vinf,Vinf,C/V\.'C/V\,choisir
34,5,5,n,n,PROCON,5,Crd,Crd,C/\,ne
35,5,6,eslire,eslire,VER:infi,5,Vinf,Vinf,/V\.'C/V\.C/(e)\,élire
36,6,1,quant,quant,ADV,6,Sub,Sub,C/V\,quand
37,6,2,a,a,PRE,6,Pre,Pre,/V\,à
38,6,3,la,la,DET:def:obj:femi:sg,6,Det,Det,C/V\,le
39,6,4,fois,fois,NOM:obj:femi:sg,6,N,N,C/V\,fois
40,6,5,repreng,repreng,VER:pres:1:sg,6,Vfin,Vfin,C/V\.'C/V\,reprendre
41,6,6,a,a,PRE,6,Pre,Pre,/V\,à
42,6,7,lire,lire,VER:infi,6,Vinf,Vinf,'C/V\.C/(e)\,lire
43,7,1,cialz,cialz,PRO:demo:obj:masc:pl,7,Dem,Dem,C/V\,cil
44,7,2,qu,qu,PROCON,7,Qux,Qux,C/\,que
45,7,3,arriere,arriere,ADV,7,PrA,PrA,/V\.'C/V\.C/(e)\,arrière
46,7,4,ai,ai,VER:pres:1:sg,7,Vfin,Vfin,/V\,avoir
47,7,5,entrelaissiez,entrelaissiez,VER:pper:masc:pl,7,Vpp,Vpp,/V\.C/e\.C/V\.'C/V\,entrelaisser
48,8,1,lors,lors,ADV,8,Adv,Adv,C/V\,lors
49,8,2,m',m',PRO:pers:obj:1:sg:unb,8,Prn,Prn$$,C/\,me
50,8,3,est,est,VER:pres:3:sg,8,Vfin,Vfin,/V\,être
51,8,4,avis,avis,NOM:suj:masc:sg,8,N,N,/V\.'C/V\,avis
52,8,5,que,que,PROCON,8,Sub,Sub,C/(e)\,que
53,8,6,j,j,PRO:pers:suj:1:sg:unb,8,Prn,Prn$,C/\,je
54,8,7,ai,ai,VER:pres:1:sg,8,Vfin,Vfin,/V\,avoir
55,8,8,laissiez,laissiez,VER:pper:masc:pl,8,Vpp,Vpp,C/V\.'C/V\,laisser
56,9,1,et,et,CON:coord,9,Crd,Crd,/V\,et
57,9,2,les,les,DET:def:obj:masc:pl,9,Det,Det,C/V\,le
58,9,3,milleurs,milleurs,ADJ:obj:masc:pl,9,Adj,Adj,C/V\.'C/V\,meilleur
59,9,4,et,et,CON:coord,9,Crd,Crd,/V\,et
60,9,5,les,les,DET:def:obj:masc:pl,9,Det,Det,C/V\,le
61,9,6,plus,plus,ADV,9,Adv,Adv,C/V\,plus
62,9,7,bialz,bialz,ADJ:obj:masc:pl,9,Adj,Adj,C/V\,beau
63,10,1,or,or,ADV,10,Adv,Adv,/V\,or
64,10,2,vos,vos,PRO:pers:2:pl,10,Prn,Prn$$,C/V\,vous
65,10,3,reveil,reveil,VER:pres:1:sg,10,Vfin,Vfin,C/V\.'C/V\,revouloir
66,10,4,conter,conter,VER:infi,10,Vinf,Vinf,C/V\.'C/V\,conter
67,10,5,de,de,PRE,10,Pre,Pre,C/(e)\,de
68,10,6,cialz,cialz,PRO:demo:obj:masc:pl,10,Dem,Dem,C/V\,cil
69,11,1,qu,qu,PROCON,11,Qux,Qux,C/\,que
70,11,2,entrelaissiez,entrelaissiez,VER:pper:masc:pl,11,Vpp,Vpp,/V\.C/e\.C/V\.'C/V\,entrelaisser
71,11,3,arriere,arriere,ADV,11,PrA,PrA,/V\.'C/V\.C/(e)\,arrière
72,11,4,avoie,avoie,VER:impf:1:sg,11,Vfin,Vfin,/V\.'C/V\./(e)\,avoir
73,12,1,et,et,CON:coord,12,Crd,Crd,/V\,et
74,12,2,nepourquant,nepourquant,ADV,12,Adv,Adv,C/V\.C/V\.'C/V\,nonpourquant
75,12,3,j,j,PRO:pers:suj:1:sg:unb,12,Prn,Prn$,C/\,je
76,12,4,en,en,PRO:clit,12,Prn,Prn$$,/V\,en
77,12,5,troveroie,troveroie,VER:cond:1:sg,12,Vfin,Vfin,C/V\.C/e\.'C/V\./(e)\,trouver
78,13,1,et,et,CON:coord,13,Crd,Crd,/V\,et
79,13,2,d',d',PRE,13,Pre,Pre,C/\,de
80,13,3,ausi,ausi,ADV,13,Adv,Adv,/V\.'C/V\,aussi
81,13,4,bialz,bialz,ADJ:obj:masc:pl,13,Adj,Adj,C/V\,beau
82,13,5,et,et,CON:coord,13,Crd,Crd,/V\,et
83,13,6,d',d',PRE,13,Pre,Pre,C/\,de
84,13,7,ausi,ausi,ADV,13,Adv,Adv,/V\.'C/V\,aussi
85,13,8,grans,grans,ADJ:obj:masc:pl,13,Adj,Adj,C/V\,grand
86,14,1,mais,mais,CON:coord,14,Crd,Crd,C/V\,mais
87,14,2,pour,pour,PRE,14,Pre,Pre,C/V\,pour
88,14,3,ce,ce,PRO:invar,14,Prn,Prn,C/(e)\,ce
89,14,4,un,un,DET:ndf:obj:masc:sg,14,QIs,QIs,/V\,un
90,14,5,peu,peu,ADV,14,N,N,C/V\,peu
91,14,6,en,en,PRO:clit,14,Prn,Prn$$,/V\,en
92,14,7,sui,sui,VER:pres:1:sg,14,Vfin,Vfin,C/V\,être
93,14,8,engrans,engrans,ADJ:suj:masc:sg,14,Adj,Adj,/V\.'C/V\,engrant
94,15,1,que,que,PROCON,15,Sub,Sub,C/(e)\,que
95,15,2,la,la,DET:def:suj:femi:sg,15,Det,Det,C/V\,le
96,15,3,contesse,contesse,NOM:suj:femi:sg,15,N,N,C/V\.'C/V\.C/(e)\,comtesse
97,15,4,ade,ade,NPR:suj:femi:sg,15,N,N,'/V\.C/(e)\,Ade
98,15,5,m',m',PRO:pers:obj:1:sg:unb,15,Prn,Prn$$,C/\,me
99,15,6,en,en,PRO:clit,15,Prn,Prn$$,/V\,en
100,15,7,prie,prie,VER:pres:3:sg,15,Vfin,Vfin,'C/V\./(e)\,prier
101,16,1,de,de,PRE,16,Pre,Pre,C/(e)\,de
102,16,2,soissonz,soissonz,NPR:obj:masc:sg,16,N,N,C/V\.'C/V\,Soissons
103,16,3,qui,qui,PROCON,16,Qux,Qux,C/V\,qui
104,16,4,mout,mout,ADV,16,QIs,QIs,C/V\,moult
105,16,5,est,est,VER:pres:3:sg,16,Vfin,Vfin,/V\,être
106,16,6,m',m',DET:poss:suj:femi:sg,16,Det,Det,C/\,mon
107,16,7,amie,amie,NOM:suj:femi:sg,16,N,N,/V\.'C/V\./(e)\,ami
108,17,1,et,et,CON:coord,17,Crd,Crd,/V\,et
109,17,2,qui,qui,PROCON,17,Qux,Qux,C/V\,qui
110,17,3,mout,mout,ADV,17,QIs,QIs,C/V\,moult
111,17,4,aimme,aimme,VER:pres:3:sg,17,Vfin,Vfin,'/V\.C/(e)\,aimer
112,17,5,de,de,PRE,17,Pre,Pre,C/(e)\,de
113,17,6,cuer,cuer,NOM:obj:masc:sg,17,N,N,C/V\,coeur
114,17,7,fin,fin,ADJ:obj:masc:sg,17,Adj,Adj,C/V\,fin
115,18,1,la,la,DET:def:obj:femi:sg,18,Det,Det,C/V\,le
116,18,2,mere,mere,NOM:obj:femi:sg,18,N,N,'C/V\.C/(e)\,mère
117,18,3,dieu,dieu,NOM:obj:masc:sg,18,N,N,C/V\,dieu
118,18,4,qui,qui,PROCON,18,Qux,Qux,C/V\,qui
119,18,5,bonne,bonne,ADJ:obj:femi:sg,18,Adj,Adj,'C/V\.C/(e)\,bon
120,18,6,fin,fin,NOM:obj:femi:sg,18,N,N,C/V\,fin
121,19,1,li,li,PRO:pers:suj:3:masc:sg:bet,19,Prn,Prn$$,C/V\,li
122,19,2,daint,daint,VER:subp:3:sg,19,Vfin,Vfin,C/V\,daigner
123,19,3,doner,doner,VER:infi,19,Vinf,Vinf,C/V\.'C/V\,donner
124,19,4,et,et,CON:coord,19,Crd,Crd,/V\,et
125,19,5,bone,bone,ADJ:obj:femi:sg,19,Adj,Adj,'C/V\.C/(e)\,bon
126,19,6,vie,vie,NOM:obj:femi:sg,19,N,N,'C/V\./(e)\,vie
127,20,1,et,et,CON:coord,20,Crd,Crd,/V\,et
128,20,2,mes,mes,DET:poss:suj:masc:sg,20,Det,Det,C/V\,mon
129,20,3,cuers,cuers,NOM:suj:masc:sg,20,N,N,C/V\,coeur
130,20,4,plus,plus,ADV,20,Adv,Adv,C/V\,plus
131,20,5,tost,tost,ADV,20,Adv,Adv,C/V\,tôt
132,20,6,s,s,PROCON,20,Prn,Prn$$,C/\,se
133,20,7,i,i,PRO:clit,20,Prn,Prn$$,/V\,y
134,20,8,raplie,raplie,VER:pres:3:sg,20,Vfin,Vfin,C/V\.'C/V\./(e)\,reployer
135,21,1,pour,pour,PRE,21,Pre,Pre,C/V\,pour
136,21,2,ce,ce,PRO:invar,21,Prn,Prn,C/(e)\,ce
137,21,3,qu,qu,PROCON,21,Sub,Sub,C/\,que
138,21,4,avinrent,avinrent,VER:simp:3:pl,21,Vfin,Vfin,/V\.'C/V\.C/e\,avenir
139,21,5,a,a,PRE,21,Pre,Pre,/V\,à
140,21,6,soissonz,soissonz,NPR:obj:masc:sg,21,N,N,C/V\.'C/V\,Soissons
141,22,1,ou,ou,PROCON,22,Qux,Qux,/V\,où
142,22,2,me,me,PRO:pers:obj:1:sg:unb,22,Prn,Prn$$,C/(e)\,me
143,22,3,norri,norri,VER:simp:3:sg,22,Vfin,Vfin,C/V\.'C/V\,nourrir
144,22,4,de,de,PRE,22,Pre,Pre,C/(e)\,de
145,22,5,ses,ses,DET:poss:obj:masc:pl,22,Det,Det,C/V\,son
146,22,6,poissonz,poissonz,NOM:obj:masc:pl,22,N,N,C/V\.'C/V\,poisson
147,23,1,de,de,PRE,23,Pre,Pre,C/(e)\,de
148,23,2,ses,ses,DET:poss:obj:masc:pl,23,Det,Det,C/V\,son
149,23,3,flaons,flaons,NOM:obj:masc:pl,23,N,N,C/(V)\.'/V\,flan
150,23,4,et,et,CON:coord,23,Crd,Crd,/V\,et
151,23,5,de,de,PRE,23,Pre,Pre,C/(e)\,de
152,23,6,ses,ses,DET:poss:obj:femi:pl,23,Det,Det,C/V\,son
153,23,7,miches,miches,NOM:obj:femi:pl,23,N,N,'C/V\.C/e\,miche
154,24,1,mes,mes,DET:poss:suj:masc:sg,24,Det,Det,C/V\,mon
155,24,2,sires,sires,NOM:suj:masc:sg,24,N,N,'C/V\.C/e\,sire
156,24,3,sains,sains,ADJ:suj:masc:sg,24,Adj,Adj,C/V\,saint
157,24,4,maars,maars,NPR:suj:masc:sg,24,N,N,C/(V)\.'/V\,Marc
158,24,5,li,li,DET:def:suj:masc:sg,24,Det,Det,C/V\,le
159,24,6,riches,riches,ADJ:suj:masc:sg,24,Adj,Adj,'C/V\.C/e\,riche
160,25,1,quant,quant,ADV,25,Sub,Sub,C/V\,quand
161,25,2,a,a,PRE,25,Pre,Pre,/V\,à
162,25,3,soissons,soissons,NPR:obj:masc:sg,25,N,N,C/V\.'C/V\,Soissons
163,25,4,tant,tant,DET:ind:suj:femi:pl,25,QIs,QIs,C/V\,tant
164,25,5,de,de,PRE,25,Pre,Pre,C/(e)\,de
165,25,6,gens,gens,NOM:suj:femi:pl,25,N,N,C/V\,gent
166,25,7,vinrent,vinrent,VER:simp:3:pl,25,Vfin,Vfin,'C/V\.C/e\,venir
167,26,1,as,as,PREDET:a:obj:masc:pl,26,Pre+Det,Pre+Det,/V\,à.le
168,26,2,granz,granz,ADJ:obj:masc:pl,26,Adj,Adj,C/V\,grand
169,26,3,miracles,miracles,NOM:obj:masc:pl,26,N,N,C/V\.'C/V\.C/e\,miracle
170,26,4,qui,qui,PROCON,26,Qux,Qux,C/V\,qui
171,26,5,avinrent,avinrent,VER:simp:3:pl,26,Vfin,Vfin,/V\.'C/V\.C/e\,avenir
172,27,1,au,au,PREDET:a:obj:masc:sg,27,Pre+Det,Pre+Det,/V\,à.le
173,27,2,saint,saint,ADJ:obj:masc:sg,27,Adj,Adj,C/V\,saint
174,27,3,soller,soller,NOM:obj:masc:sg,27,N,N,C/V\.'C/V\,soulier
175,27,4,la,la,DET:def:obj:femi:sg,27,Det,Det,C/V\,le
176,27,5,bele,bele,ADJ:obj:femi:sg,27,Adj,Adj,'C/V\.C/(e)\,beau
177,27,6,dame,dame,NOM:obj:femi:sg,27,N,N,'C/V\.C/(e)\,dame
178,28,1,de,de,PRE,28,Pre,Pre,C/(e)\,de
179,28,2,vaus,vaus,NPR:obj:masc:sg,28,N,N,C/V\,Vaux
180,28,3,une,une,DET:ndf:suj:femi:sg,28,QIs,QIs,'/V\.C/(e)\,un
181,28,4,mout,mout,ADV,28,QIs,QIs,C/V\,moult
182,28,5,povre,povre,ADJ:suj:femi:sg,28,Adj,Adj,'C/V\.C/(e)\,pauvre
183,28,6,fame,fame,NOM:suj:femi:sg,28,N,N,'C/V\.C/(e)\,femme
184,29,1,i,i,PRO:clit,29,Prn,Prn$$,/V\,y
185,29,2,aporta,aporta,VER:simp:3:sg,29,Vfin,Vfin,/V\.C/V\.'C/V\,apporter
186,29,3,un,un,DET:ndf:obj:masc:sg,29,QIs,QIs,/V\,un
187,29,4,sien,sien,ADJ:poss:obj:masc:sg,29,Adj,Adj,C/V\,son
188,29,5,enfant,enfant,NOM:obj:masc:sg,29,N,N,/V\.'C/V\,enfant
189,30,1,qui,qui,PROCON,30,Qux,Qux,C/V\,qui
190,30,2,maladie,maladie,NOM:obj:femi:sg,30,N,N,C/V\.C/V\.'C/V\./(e)\,maladie
191,30,3,avoit,avoit,VER:impf:3:sg,30,Vfin,Vfin,/V\.'C/V\,avoir
192,30,4,si,si,PROCON,30,Adv,Adv,C/V\,si
193,30,5,grant,grant,ADJ:obj:femi:sg,30,Adj,Adj,C/V\,grand
194,31,1,que,que,PROCON,31,Sub,Sub,C/(e)\,que
195,31,2,feuz,feuz,NOM:suj:masc:sg,31,N,N,C/V\,feu
196,31,3,d',d',PRE,31,Pre,Pre,C/\,de
197,31,4,enfer,enfer,NOM:obj:masc:sg,31,N,N,/V\.'C/V\,enfer
198,31,5,ses,ses,DET:poss:obj:masc:pl,31,Det,Det,C/V\,son
199,31,6,piez,piez,NOM:obj:masc:pl,31,N,N,C/V\,pied
200,31,7,ardoit,ardoit,VER:impf:3:sg,31,Vfin,Vfin,/V\.'C/V\,ardre
201,32,1,cil,cil,DET:demo:suj:masc:sg,32,Dem,Dem,C/V\,cil
202,32,2,enfes,enfes,NOM:suj:masc:sg,32,N,N,'/V\.C/e\,enfant
203,32,3,les,les,DET:def:obj:masc:pl,32,Det,Det,C/V\,le
204,32,4,porcialz,porcialz,NOM:obj:masc:pl,32,N,N,C/V\.'C/V\,pourceau
205,32,5,gardoit,gardoit,VER:impf:3:sg,32,Vfin,Vfin,C/V\.'C/V\,garder
206,33,1,en,en,PRO:clit,33,Pre,Pre,/V\,en
207,33,2,vax,vax,NPR:obj:masc:sg,33,N,N,C/V\,Vaux
208,33,3,qui,qui,PROCON,33,Qux,Qux,C/V\,qui
209,33,4,est,est,VER:pres:3:sg,33,Vfin,Vfin,/V\,être
210,33,5,soz,soz,PRE,33,PrA,PrA,C/V\,sous
211,33,6,gonfroicort,gonfroicort,NPR:obj:masc:sg,33,N,N,C/V\.C/V\.'C/V\,Confrécourt
212,34,1,lés,lés,PRE,34,Pre,Pre,C/V\,lez
213,34,2,fontenoi,fontenoi,NPR:obj:masc:sg,34,N,N,C/V\.C/e\.'C/V\,Fontenoy
214,34,3,ou,ou,PROCON,34,Qux,Qux,/V\,où
215,34,4,aisne,aisne,NPR:suj:masc:sg,34,N,N,'/V\.C/(e)\,Aisne
216,34,5,cort,cort,VER:pres:3:sg,34,Vfin,Vfin,C/V\,courir
217,35,1,petis,petis,ADJ:suj:masc:sg,35,Adj,Adj,C/e\.'C/V\,petit
218,35,2,estoit,estoit,VER:impf:3:sg,35,Vfin,Vfin,/V\.'C/V\,être
219,35,3,ne,ne,PRO:clit,35,Crd,Crd,C/(e)\,ne
220,35,4,mie,mie,ADV,35,Neg,Neg,'C/V\./(e)\,mie
221,35,5,grans,grans,ADJ:suj:masc:sg,35,Adj,Adj,C/V\,grand
222,36,1,li,li,DET:def:suj:masc:sg,36,Det,Det,C/V\,le
223,36,2,livres,livres,NOM:suj:masc:sg,36,N,N,'C/V\.C/e\,livre
224,36,3,dit,dit,VER:pres:3:sg,36,Vfin,Vfin,C/V\,dire
225,36,4,n,n,PRO:clit,36,Neg,Neg$$,C/\,ne
226,36,5,avoit,avoit,VER:impf:3:sg,36,Vfin,Vfin,/V\.'C/V\,avoir
227,36,6,qu,qu,PROCON,36,Sub,Sub,C/\,que
228,36,7,onze,onze,ADJ:card,36,QIs,QIs,'/V\.C/(e)\,onze
229,36,8,anz,anz,NOM:obj:masc:pl,36,N,N,/V\,an
230,37,1,dou,dou,PREDET:de:obj:masc:sg,37,Pre+Det,Pre+Det,C/V\,de.le
231,37,2,puant,puant,VER:ppre,37,Vprs,Vprs,C/V\.'C/V\,puir
232,37,3,feu,feu,NOM:obj:masc:sg,37,N,N,C/V\,feu
233,37,4,qui,qui,PROCON,37,Qux,Qux,C/V\,qui
234,37,5,art,art,VER:pres:3:sg,37,Vfin,Vfin,/V\,ardre
235,37,6,sanz,sanz,PRE,37,Pre,Pre,C/V\,sans
236,37,7,flame,flame,NOM:obj:femi:sg,37,N,N,'C/V\.C/(e)\,flamme
237,38,1,mout,mout,ADV,38,QIs,QIs,C/V\,moult
238,38,2,tost,tost,ADV,38,Adv,Adv,C/V\,tôt
239,38,3,gari,gari,VER:pper:masc:sg,38,Vpp,Vpp,C/V\.'C/V\,guérir
240,38,4,l',l',PRO:pers:obj:3:masc:sg:unb,38,Prn,Prn$$,C/\,le
241,38,5,eut,eut,VER:simp:3:sg,38,Vfin,Vfin,/V\,avoir
242,38,6,nostre,nostre,DET:poss:suj:femi:sg,38,Det,Det,'C/V\.C/(e)\,notre
243,38,7,dame,dame,NOM:suj:femi:sg,38,N,N,'C/V\.C/(e)\,dame
244,39,1,qui,qui,PROCON,39,Qux,Qux,C/V\,qui
245,39,2,est,est,VER:pres:3:sg,39,Vfin,Vfin,/V\,être
246,39,3,soutilz,soutilz,ADJ:suj:femi:sg,39,Adj,Adj,C/V\.'C/V\,subtil
247,39,4,cyrurgienne,cyrurgienne,NOM:suj:femi:sg,39,N,N,C/V\.C/V\.C/V\.'C/V\.C/(e)\,chirurgienne
248,40,1,en,en,PRE,40,Pre,Pre,/V\,en
249,40,2,vauz,vauz,NPR:obj:masc:sg,40,N,N,C/V\,Vaux
250,40,3,la,la,DET:def:suj:femi:sg,40,Det,Det,C/V\,le
251,40,4,povre,povre,ADJ:suj:femi:sg,40,Adj,Adj,'C/V\.C/(e)\,pauvre
252,40,5,crestienne,crestienne,NOM:suj:femi:sg,40,Adj,Adj,C/V\.C/{V}\.'/V\.C/(e)\,chrétien
253,41,1,atout,atout,PRE,41,PrA,PrA,/V\.'C/V\,atout
254,41,2,son,son,DET:poss:obj:masc:sg,41,Det,Det,C/V\,son
255,41,3,enfant,enfant,NOM:obj:masc:sg,41,N,N,/V\.'C/V\,enfant
256,41,4,s,s,PROCON,41,Prn,Prn$$,C/\,se
257,41,5,en,en,PRO:clit,41,Prn,Prn$$,/V\,en
258,41,6,revint,revint,VER:simp:3:sg,41,Vfin,Vfin,C/V\.'C/V\,revenir
259,42,1,en,en,PRO:clit,42,Pre,Pre,/V\,en
260,42,2,l',l',DET:def:obj:masc:sg,42,Det,Det,C/\,le
261,42,3,an,an,NOM:obj:masc:sg,42,N,N,/V\,an
262,42,4,aprés,aprés,PRE,42,PrA,PrA,/V\.'C/V\,après
263,42,5,grans,grans,ADJ:suj:masc:sg,42,Adj,Adj,C/V\,grand
264,42,6,voloirs,voloirs,VER:infi,42,N,N,C/V\.'C/V\,vouloir
265,42,7,vint,vint,VER:simp:3:sg,42,Vfin,Vfin,C/V\,venir
266,43,1,a,a,PRE,43,Pre,Pre,/V\,à
267,43,2,l',l',DET:def:obj:masc:sg,43,Det,Det,C/\,le
268,43,3,enfant,enfant,NOM:obj:masc:sg,43,N,N,/V\.'C/V\,enfant
269,43,4,de,de,PRE,43,Pre,Pre,C/(e)\,de
270,43,5,raler,raler,VER:infi,43,Vinf,Vinf,C/V\.'C/V\,raller
271,43,6,arriere,arriere,ADV,43,PrA,PrA,/V\.'C/V\.C/(e)\,arrière
272,44,1,sa,sa,DET:poss:obj:femi:sg,44,Det,Det,C/V\,son
273,44,2,mere,mere,NOM:obj:femi:sg,44,N,N,'C/V\.C/(e)\,mère
274,44,3,en,en,PRO:clit,44,Prn,Prn$$,/V\,en
275,44,4,fait,fait,VER:pres:3:sg,44,Vfin,Vfin,C/V\,faire
276,44,5,mainte,mainte,DET:ind:obj:femi:sg,44,QIs,QIs,'C/V\.C/(e)\,maint
277,44,6,priere,priere,NOM:obj:femi:sg,44,N,N,C/V\.'C/V\.C/(e)\,prière
278,45,1,souvent,souvent,ADV,45,Adv,Adv,C/V\.'C/V\,souvent
279,45,2,li,li,PRO:pers:suj:3:masc:sg:bet,45,Prn,Prn$$,C/V\,li
280,45,3,prie,prie,VER:pres:3:sg,45,Vfin,Vfin,'C/V\./(e)\,prier
281,45,4,a,a,PRE,45,Pre,Pre,/V\,à
282,45,5,jointes,jointes,VER:pper:femi:pl,45,Vpp,Vpp,'C/V\.C/e\,joindre
283,45,6,mains,mains,NOM:obj:femi:pl,45,N,N,C/V\,main
284,46,1,que,que,PROCON,46,Sub,Sub,C/(e)\,que
285,46,2,chasc,chasc,DET:ind:obj:masc:sg,46,QIs,QIs,C/V\,chaque
286,46,3,an,an,NOM:obj:masc:sg,46,N,N,/V\,an
287,46,4,une,une,DET:ndf:obj:femi:sg,46,QIs,QIs,'/V\.C/(e)\,un
288,46,5,fois,fois,NOM:obj:femi:sg,46,N,N,C/V\,fois
289,46,6,au,au,PREDET:a:obj:masc:sg,46,Pre+Det,Pre+Det,/V\,à.le
290,46,7,mains,mains,ADV,46,Adv,Adv,C/V\,moins
291,47,1,a,a,PRE,47,Pre,Pre,/V\,à
292,47,2,nostre,nostre,DET:poss:obj:femi:sg,47,Det,Det,'C/V\.C/(e)\,notre
293,47,3,dame,dame,NOM:obj:femi:sg,47,N,N,'C/V\.C/(e)\,dame
294,47,4,le,le,PRO:pers:obj:3:masc:sg:unb,47,Prn,Prn$$,C/(e)\,le
295,47,5,remaint,remaint,VER:subp:3:sg,47,Vfin,Vfin,C/V\.'C/V\,remanoir
296,48,1,que,que,PROCON,48,Sub,Sub,C/(e)\,que
297,48,2,feuz,feuz,NOM:suj:masc:sg,48,N,N,C/V\,feu
298,48,3,d',d',PRE,48,Pre,Pre,C/\,de
299,48,4,enfer,enfer,NOM:obj:masc:sg,48,N,N,/V\.'C/V\,enfer
300,48,5,ne,ne,PRO:clit,48,Neg,Neg$$,C/(e)\,ne
301,48,6,le,le,PRO:pers:obj:3:masc:sg:unb,48,Prn,Prn$$,C/(e)\,le
302,48,7,mesmaint,mesmaint,VER:subp:3:sg,48,Vfin,Vfin,C/V\.'C/V\,mémener
303,49,1,chasqu,chasqu,DET:ind:obj:masc:sg,49,QIs,QIs,C/V\,chaque
304,49,2,an,an,NOM:obj:masc:sg,49,N,N,/V\,an
305,49,3,ce,ce,PRO:invar,49,Prn,Prn,C/(e)\,ce
306,49,4,dit,dit,VER:pres:3:sg,49,Vfin,Vfin,C/V\,dire
307,49,5,la,la,PRO:pers:acc:3:femi:sg,49,Prn,Prn$$,C/V\,le
308,49,6,vielt,vielt,VER:pres:3:sg,49,Vfin,Vfin,C/V\,vouloir
309,49,7,requerre,requerre,VER:infi,49,Vinf,Vinf,C/V\.'C/V\.C/(e)\,requérir
310,50,1,que,que,PROCON,50,Sub,Sub,C/(e)\,que
311,50,2,sainz,sainz,ADJ:obj:masc:pl,50,Adj,Adj,C/V\,saint
312,50,3,ses,ses,DET:poss:obj:masc:pl,50,Det,Det,C/V\,son
313,50,4,menbres,menbres,NOM:obj:masc:pl,50,N,N,'C/V\.C/e\,membre
314,50,5,gart,gart,VER:subp:3:sg,50,Vfin,Vfin,C/V\,garder
315,50,6,sor,sor,PRE,50,PrA,PrA,C/V\,sur
316,50,7,terre,terre,NOM:obj:femi:sg,50,N,N,'C/V\.C/(e)\,terre
317,51,1,mais,mais,CON:coord,51,Crd,Crd,C/V\,mais
318,51,2,sa,sa,DET:poss:suj:femi:sg,51,Det,Det,C/V\,son
319,51,3,mere,mere,NOM:suj:femi:sg,51,N,N,'C/V\.C/(e)\,mère
320,51,4,de,de,PRE,51,Pre,Pre,C/(e)\,de
321,51,5,ceste,ceste,DET:demo:obj:femi:sg,51,Dem,Dem,'C/V\.C/(e)\,cist
322,51,6,chose,chose,NOM:obj:femi:sg,51,N,N,'C/V\.C/(e)\,chose
323,52,1,assez,assez,ADV,52,Adv,Adv,/V\.'C/V\,assez
324,52,2,souvent,souvent,ADV,52,Adv,Adv,C/V\.'C/V\,souvent
325,52,3,le,le,PRO:pers:obj:3:masc:sg:unb,52,Prn,Prn$$,C/(e)\,le
