wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified
211,35,6,sarmon,sarmon,2635,N,N,sermon,7s,---,C/V\.'C/V\
212,35,7,:,:,2635,Pnc,Pnc,:,7s,---,
213,36,1,bien,bien,2636,Adv,Adv,bien,7s,---,C/V\
214,36,2,samlés,samlés,2636,Vfin,Vfin,sembler,7s,---,C/V\.'C/V\
215,36,3,estre,estre,2636,Vinf,Vinf,être,7s,---,'/V\.C/(e)\
216,36,4,devine,devine,2636,Adj,Adj,divin,7s,---,C/V\.'C/V\.C/(e)\
217,36,5,.,.,2636,Pnc,Pnc,.,7s,---,
218,37,1,vous,vous,2637,Prn,Prn$,vous,7s,---,C/V\
219,37,2,faites,faites,2637,Vfin,Vfin,faire,7s,---,'C/V\.C/e\
220,37,3,capel,capel,2637,N,N,chapeau,7s,---,C/V\.'C/V\
221,37,4,d',d',2637,Pre,Pre,de,7s,---,C/\
222,37,5,espine,espine,2637,N,N,épine,7s,---,/V\.'C/V\.C/(e)\
223,37,6,",",",",2637,Pnc,Pnc,",",7s,---,
224,38,1,s',s',2638,Adv,Adv,si4,7s,---,C/\
225,38,2,ostés,ostés,2638,Vfin,Vfin,ôter,7s,---,/V\.'C/V\
226,38,3,le,le,2638,Det,Det,le,7s,---,C/(e)\
227,38,4,vermail,vermail,2638,Adj,Adj,vermeil,7s,---,C/V\.'C/V\
228,38,5,bouton,bouton,2638,N,N,bouton,7s,---,C/V\.'C/V\
229,39,1,ki,ki,2639,Qux,Qux,qui,7s,---,C/V\
230,39,2,miex,miex,2639,Adv,Adv,mieux,7s,---,C/V\
231,39,3,vaut,vaut,2639,Vfin,Vfin,valoir,7s,---,C/V\
232,39,4,—,—,2639,Pnc,Pnc,—,7s,---,
233,39,5,esgardés,esgardés,2639,Vfin,Vfin,égarder,7s,---,/V\.C/V\.'C/V\
234,39,6,mon,mon,2639,Adv,Adv,mon2,7s,---,C/V\
235,39,7,!,!,2639,Pnc,Pnc,!,7s,---,
236,39,8,—,—,2639,Pnc,Pnc,—,7s,---,
237,40,1,comme,comme,2640,Sub,Sub,comme,7s,---,'C/V\.C/(e)\
238,40,2,cil,cil,2640,Dem,Dem,cil,7s,---,C/V\
239,40,3,qui,qui,2640,Qux,Qux,qui,7s,---,C/V\
240,40,4,l',l',2640,Det,Det,le,7s,---,C/\
241,40,5,or,or,2640,N,N,or,7s,---,/V\
242,40,6,afine,afine,2640,Vfin,Vfin,affiner,7s,---,/V\.'C/V\.C/(e)\
243,41,1,laist,laist,2641,Vfin,Vfin,laisser,7s,---,C/V\
244,41,2,l',l',2641,Det,Det,le,7s,---,C/\
245,41,3,ort,ort,2641,Adj,Adj,ord,7s,---,/V\
246,41,4,et,et,2641,Crd,Crd,et,7s,---,/V\
247,41,5,retient,retient,2641,Vfin,Vfin,retenir,7s,---,C/V\.'C/V\
248,41,6,le,le,2641,Det,Det,le,7s,---,C/(e)\
249,41,7,bon,bon,2641,Adj,Adj,bon,7s,---,C/V\
250,41,8,.,.,2641,Pnc,Pnc,.,7s,---,
251,42,1,je,je,2642,Prn,Prn$,je,7s,---,C/(e)\
252,42,2,nel,nel,2642,Neg+Prn,Neg+Prn$$,ne.le,7s,---,C/V\
253,42,3,di,di,2642,Vfin,Vfin,dire,7s,---,C/V\
254,42,4,pas,pas,2642,Neg,Neg,pas,7s,---,C/V\
255,42,5,pour,pour,2642,Pre,Pre,pour,7s,---,C/V\
256,42,6,haine,haine,2642,N,N,haine,7s,---,C/(V)\.'/V\.C/(e)\
257,43,1,ne,ne,2643,Crd,Crd,ne2,7s,---,C/(e)\
258,43,2,pour,pour,2643,Pre,Pre,pour,7s,---,C/V\
259,43,3,nule,nule,2643,QIs,QIs,nul,7s,---,'C/V\.C/(e)\
260,43,4,sospeçon,sospeçon,2643,N,N,soupçon,7s,---,C/V\.C/e\.'C/V\
261,43,5,;,;,2643,Pnc,Pnc,;,7s,---,
262,44,1,mais,mais,2644,Crd,Crd,mais,7s,---,C/V\
263,44,2,gaitiés,gaitiés,2644,Vfin,Vfin,guetter,7s,---,C/V\.'C/V\
264,44,3,vous,vous,2644,Prn,Prn%%,vous,7s,---,C/V\
265,44,4,dou,dou,2644,Pre+Det,Pre+Det,de.le,7s,---,C/V\
266,44,5,sourgon,sourgon,2644,N,N,surgeon,7s,---,C/V\.'C/V\
267,45,1,que,que,2645,Sub,Sub,que,7s,---,C/(e)\
268,45,2,vous,vous,2645,Prn,Prn$,vous,7s,---,C/V\
269,45,3,n',n',2645,Neg,Neg,ne,7s,---,C/\
270,45,4,i,i,2645,Prn,Prn$$,y2,7s,---,/V\
271,45,5,caés,caés,2645,Vfin,Vfin,choir,7s,---,C/V\.'C/V\
272,45,6,souvine,souvine,2645,Adj,Adj,souvin,7s,---,C/V\.'C/V\.C/(e)\
273,45,7,.,.,2645,Pnc,Pnc,.,7s,---,
274,46,1,jalousie,jalousie,2646,N,N,jalousie,7s,---,C/V\.C/V\.'C/V\./(e)\
275,46,2,est,est,2646,Vfin,Vfin,être,7s,---,/V\
276,46,3,me,me,2646,Det,Det,mon,7s,---,C/(e)\
277,46,4,voisine,voisine,2646,N,N,voisine,7s,---,C/V\.'C/V\.C/(e)\
278,46,5,",",",",2646,Pnc,Pnc,",",7s,---,
279,47,1,par,par,2647,Pre,Pre,par,7s,---,C/V\
280,47,2,coi,coi,2647,Qux,Qux,que,7s,---,C/V\
281,47,3,en,en,2647,Pre,Pre,en,7s,---,/V\
282,47,4,vostre,vostre,2647,Det,Det,votre,7s,---,'C/V\.C/(e)\
283,47,5,occoison,occoison,2647,N,N,ochaison,7s,---,/V\.C/V\.'C/V\
284,48,1,me,me,2648,Prn,Prn$$,me,7s,---,C/(e)\
285,48,2,fait,fait,2648,Vfin,Vfin,faire,7s,---,C/V\
286,48,3,dire,dire,2648,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\
287,48,4,desraison,desraison,2648,N,N,déraison,7s,---,C/V\.C/V\.'C/V\
288,48,5,",",",",2648,Pnc,Pnc,",",7s,---,
289,49,1,si,si,2649,Adv,Adv,si4,7s,---,C/V\
290,49,2,m',m',2649,Prn,Prn$$,me,7s,---,C/\
291,49,3,en,en,2649,Prn,Prn$$,en2,7s,---,/V\
292,49,4,dounés,dounés,2649,Vfin,Vfin,donner,7s,---,C/V\.'C/V\
293,49,5,dessepline,dessepline,2649,N,N,discipline,7s,---,C/V\.C/e\.'C/V\.C/(e)\
294,49,6,.,.,2649,Pnc,Pnc,.,7s,---,
295,50,1,onkes,onkes,3401,Adv,Adv,onques,7s,---,'/V\.C/e\
296,50,2,nus,nus,3401,QIs,QIs,nul,7s,---,C/V\
297,50,3,hom,hom,3401,N,N,homme,7s,---,/V\
298,50,4,ne,ne,3401,Neg,Neg,ne,7s,---,C/(e)\
299,50,5,fu,fu,3401,Vfin,Vfin,être,7s,---,C/V\
300,50,6,pris,pris,3401,Vpp,Vpp,prendre,7s,---,C/V\
301,51,1,d',d',3402,Pre,Pre,de,7s,---,C/\
302,51,2,amours,amours,3402,N,N,amour,7s,---,/V\.'C/V\
303,51,3,",",",",3402,Pnc,Pnc,",",7s,---,
304,51,4,qui,qui,3402,Qux,Qux,qui,7s,---,C/V\
305,51,5,n',n',3402,Neg,Neg,ne,7s,---,C/\
306,51,6,en,en,3402,Prn,Prn$$,en2,7s,---,/V\
307,51,7,vausist,vausist,3402,Vfin,Vfin,valoir,7s,---,C/V\.'C/V\
308,51,8,miex,miex,3402,Adv,Adv,mieux,7s,---,C/V\
309,52,1,et,et,3403,Crd,Crd,et,7s,---,/V\
310,52,2,qui,qui,3403,Qux,Qux,qui,7s,---,C/V\
311,52,3,n',n',3403,Neg,Neg,ne,7s,---,C/\
312,52,4,en,en,3403,Prn,Prn$$,en2,7s,---,/V\
313,52,5,fust,fust,3403,Vfin,Vfin,être,7s,---,C/V\
314,52,6,plus,plus,3403,Adv,Adv,plus,7s,---,C/V\
315,52,7,jolis,jolis,3403,Adj,Adj,joli,7s,---,C/V\.'C/V\
316,53,1,et,et,3404,Crd,Crd,et,7s,---,/V\
317,53,2,miex,miex,3404,Adv,Adv,mieux,7s,---,C/V\
318,53,3,venus,venus,3404,Vpp,Vpp,venir,7s,---,C/V\.'C/V\
319,53,4,en,en,3404,Pre,Pre,en,7s,---,/V\
320,53,5,tous,tous,3404,QIs,QIs,tous,7s,---,C/V\
321,53,6,lius,lius,3404,N,N,lieu,7s,---,C/V\
322,53,7,",",",",3404,Pnc,Pnc,",",7s,---,
323,54,1,car,car,3405,Crd,Crd,car,7s,---,C/V\
324,54,2,bone,bone,3405,Adj,Adj,bon,7s,---,'C/V\.C/(e)\
325,54,3,amours,amours,3405,N,N,amour,7s,---,/V\.'C/V\
326,54,4,li,li,3405,Prn,Prn$$,li,7s,---,C/V\
327,54,5,fait,fait,3405,Vfin,Vfin,faire,7s,---,C/V\
328,54,6,plaire,plaire,3405,Vinf,Vinf,plaire,7s,---,'C/V\.C/(e)\
329,54,7,;,;,3405,Pnc,Pnc,;,7s,---,
330,55,1,si,si,3406,Adv,Adv,si4,7s,---,C/V\
331,55,2,est,est,3406,Vfin,Vfin,être,7s,---,/V\
332,55,3,bien,bien,3406,Adv,Adv,bien,7s,---,C/V\
333,55,4,drois,drois,3406,Adj,Adj,droit2,7s,---,C/V\
334,55,5,qu',qu',3406,Sub,Sub,que,7s,---,C/\
335,55,6,il,il,3406,Prn,Prn$,il,7s,---,/V\
336,55,7,i,i,3406,Prn,Prn$$,y2,7s,---,/V\
337,55,8,paire,paire,3406,Vfin,Vfin,paroir,7s,---,'C/V\.C/(e)\
338,55,9,",",",",3406,Pnc,Pnc,",",7s,---,
339,56,1,car,car,3407,Crd,Crd,car,7s,---,C/V\
340,56,2,toute,toute,3407,QIs,QIs,tout,7s,---,'C/V\.C/(e)\
341,56,3,hounours,hounours,3407,N,N,honneur,7s,---,/V\.'C/V\
342,56,4,de,de,3407,Pre,Pre,de,7s,---,C/(e)\
343,56,5,li,li,3407,Prn,Prn,li,7s,---,C/V\
344,56,6,vient,vient,3407,Vfin,Vfin,venir,7s,---,C/V\
345,56,7,:,:,3407,Pnc,Pnc,:,7s,---,
346,57,1,faus,faus,3408,Adj,Adj,faux,7s,---,C/V\
347,57,2,est,est,3408,Vfin,Vfin,être,7s,---,/V\
348,57,3,ki,ki,3408,Qux,Qux,qui,7s,---,C/V\
349,57,4,ne,ne,3408,Neg,Neg,ne,7s,---,C/(e)\
350,57,5,le,le,3408,Prn,Prn$$,le,7s,---,C/(e)\
351,57,6,maintient,maintient,3408,Vfin,Vfin,maintenir,7s,---,C/V\.'C/V\
352,57,7,.,.,3408,Pnc,Pnc,.,7s,---,
353,58,1,et,et,3409,Crd,Crd,et,7s,---,/V\
354,58,2,puis,puis,3409,PrA,PrA,puis,7s,---,C/V\
355,58,3,ke,ke,3409,Sub,Sub,que,7s,---,C/(e)\
356,58,4,jou,jou,3409,Prn,Prn$,je,7s,---,C/V\
357,58,5,m',m',3409,Prn,Prn$$,me,7s,---,C/\
358,58,6,i,i,3409,Prn,Prn$$,y2,7s,---,/V\
359,58,7,sui,sui,3409,Vfin,Vfin,être,7s,---,C/V\
360,58,8,mis,mis,3409,Vpp,Vpp,mettre,7s,---,C/V\
361,59,1,grant,grant,3410,Adj,Adj,grand,7s,---,C/V\
362,59,2,bonté,bonté,3410,N,N,bonté,7s,---,C/V\.'C/V\
363,59,3,m',m',3410,Prn,Prn$$,me,7s,---,C/\
364,59,4,en,en,3410,Prn,Prn$$,en2,7s,---,/V\
365,59,5,a,a,3410,Vfin,Vfin,avoir,7s,---,/V\
366,59,6,fait,fait,3410,Vpp,Vpp,faire,7s,---,C/V\
367,59,7,diex,diex,3410,N,N,dieu,7s,---,C/V\
368,59,8,;,;,3410,Pnc,Pnc,;,7s,---,
369,60,1,de,de,3411,Pre,Pre,de,7s,---,C/(e)\
370,60,2,la,la,3411,Det,Det,le,7s,---,C/V\
371,60,3,millour,millour,3411,N,N,meilleur,7s,---,C/V\.'C/V\
